symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
BATL,2026-04-13,15,7,07:32:00,4.15,4.3575,4.1296,07:33:00,4.1296,stop_hit,-0.0204,12048,-245.18,0.0204,1.0
BATL,2026-04-13,18,8,08:01:00,4.11,4.3155,4.0598,08:09:00,4.0598,stop_hit,-0.0502,12165,-610.38,0.0502,8.0
BATL,2026-04-13,20,8,08:53:00,4.09,4.2945,4.0449,08:57:00,4.0449,stop_hit,-0.0451,12224,-551.76,0.0451,4.0
BATL,2026-04-13,76,9,12:51:00,3.66,3.843,3.6509,12:52:00,3.6509,stop_hit,-0.0091,13661,-125.0,0.01,1.0
IMA,2026-04-13,13,7,12:14:00,5.97,6.2685,5.9351,12:25:00,6.02,time_stop,0.05,8375,418.75,0.0349,11.0
JDZG,2026-04-13,5,7,07:55:00,2.18,2.289,2.1446,07:57:00,2.1446,stop_hit,-0.0354,22935,-811.33,0.0354,2.0
KIDZ,2026-04-13,24,7,10:58:00,2.16,2.268,2.145,11:09:00,2.1541,time_stop,-0.0059,23148,-136.57,0.015,11.0
KIDZ,2026-04-13,25,8,11:01:00,2.1919,2.3015,2.1448,11:09:00,2.1448,stop_hit,-0.0471,21242,-999.98,0.0471,8.0
KIDZ,2026-04-13,32,7,11:53:00,2.12,2.226,2.1147,11:56:00,2.1147,stop_hit,-0.0053,23584,-125.0,0.01,3.0
KIDZ,2026-04-13,36,7,12:22:00,2.1108,2.2163,2.1093,12:23:00,2.1093,stop_hit,-0.0015,23687,-35.21,0.01,1.0
KIDZ,2026-04-13,45,8,13:11:00,2.12,2.226,2.0935,13:12:00,2.0935,stop_hit,-0.0265,23584,-626.08,0.0265,1.0
KIDZ,2026-04-13,47,8,13:24:00,2.11,2.2155,2.0848,13:35:00,2.1,time_stop,-0.01,23696,-236.96,0.0252,11.0
KIDZ,2026-04-13,48,8,09:40:00,2.28,2.394,2.1945,09:51:00,2.24,time_stop,-0.04,11695,-467.8,0.0855,11.0
KIDZ,2026-04-13,52,8,10:18:00,2.22,2.331,2.2045,10:29:00,2.22,time_stop,0.0,22522,0.0,0.0155,11.0
KIDZ,2026-04-13,57,7,11:31:00,2.17,2.2785,2.1347,11:38:00,2.1347,stop_hit,-0.0353,23041,-814.5,0.0353,7.0
KIDZ,2026-04-13,61,8,12:37:00,2.106,2.2113,2.0748,12:38:00,2.0748,stop_hit,-0.0312,23741,-740.72,0.0312,1.0
KIDZ,2026-04-13,63,8,12:40:00,2.12,2.226,2.0648,12:51:00,2.11,time_stop,-0.01,18124,-181.24,0.0552,11.0
KIDZ,2026-04-13,67,8,13:10:00,2.11,2.2155,2.0855,13:21:00,2.1323,time_stop,0.0223,23696,528.42,0.0245,11.0
SKYQ,2026-04-13,6,8,08:29:00,16.75,17.5875,16.6283,08:40:00,16.82,time_stop,0.07,2985,208.95,0.1217,11.0
BMNU,2026-04-14,12,7,18:47:00,2.03,2.1315,2.015,18:58:00,2.03,time_stop,0.0,24630,0.0,0.015,11.0
CRCG,2026-04-14,3,7,19:16:00,3.24,3.402,3.2219,19:26:00,3.2219,stop_hit,-0.0181,15432,-278.93,0.0181,10.0
IMDX,2026-04-14,7,8,10:59:00,3.695,3.8798,3.6613,16:00:00,3.61,time_stop,-0.085,13531,-1150.13,0.0337,301.0
KIDZ,2026-04-14,9,10,10:07:00,2.164,2.2722,2.1147,10:20:00,2.16,time_stop,-0.004,20283,-81.13,0.0493,13.0
KIDZ,2026-04-14,18,7,06:51:00,2.25,2.3625,2.2443,06:56:00,2.2443,stop_hit,-0.0057,22222,-127.22,0.01,5.0
KIDZ,2026-04-14,26,10,10:07:00,2.164,2.2722,2.1147,10:20:00,2.16,time_stop,-0.004,20283,-81.13,0.0493,13.0
KIDZ,2026-04-14,45,8,17:46:00,2.43,2.5515,2.394,17:58:00,2.43,time_stop,0.0,20576,0.0,0.036,12.0
OKLL,2026-04-14,13,8,08:33:00,8.08,8.484,8.0798,08:38:00,8.0798,stop_hit,-0.0002,6188,-1.55,0.01,5.0
RMSG,2026-04-14,21,7,13:48:00,2.1801,2.2891,2.1446,13:59:00,2.17,time_stop,-0.0101,22934,-231.63,0.0355,11.0
RMSG,2026-04-14,46,7,13:48:00,2.18,2.289,2.1546,13:59:00,2.165,time_stop,-0.015,22935,-344.03,0.0254,11.0
RMSG,2026-04-14,72,7,13:48:00,2.18,2.289,2.1546,13:59:00,2.165,time_stop,-0.015,22935,-344.03,0.0254,11.0
ROLR,2026-04-14,17,10,07:47:00,5.3993,5.6693,5.3366,07:49:00,5.6693,target_hit,0.27,9260,2499.88,0.0627,2.0
XNDU,2026-04-14,5,7,08:58:00,12.66,13.293,12.5685,09:13:00,12.51,time_stop,-0.15,3949,-592.35,0.0915,15.0
XNDU,2026-04-14,18,7,08:58:00,12.66,13.293,12.5685,09:13:00,12.51,time_stop,-0.15,3949,-592.35,0.0915,15.0
ASTI,2026-04-15,12,8,10:45:00,4.1915,4.4011,4.1679,10:47:00,4.1679,stop_hit,-0.0236,11928,-282.05,0.0236,2.0
ASTI,2026-04-15,20,7,16:54:00,6.31,6.6255,6.2344,17:27:00,6.39,time_stop,0.08,7923,633.84,0.0756,33.0
ASTI,2026-04-15,24,10,17:44:00,6.45,6.7725,6.374,17:47:00,6.374,stop_hit,-0.076,7751,-588.88,0.076,3.0
