strategy,symbol,session_date,direction,level_kind,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,price_tier,vix_proxy
vp_breakout,AMD,2020-01-03,short,LVN,2020-01-03T09:53:00,2020-01-03T09:55:00,47.97,48.14,48.14,47.8178,5882,1000.0,-999.9400000000101,-0.99994000000001,stop,$10-50,18.0
vp_breakout,AVGO,2020-01-03,short,LVN,2020-01-03T11:11:00,2020-01-03T11:17:00,316.99,317.465485,317.465485,316.03903,2103,1000.0,-999.9449549999831,-0.9999449549999831,stop,$300+,18.0
vp_breakout,ROKU,2020-01-03,long,LVN,2020-01-03T10:20:00,2020-01-03T10:23:00,137.43,138.81000000000006,136.73999999999998,138.81000000000006,1449,1000.0,1999.6200000000758,1.999620000000076,target,$50-150,18.0
vp_breakout,F,2020-01-03,short,LVN,2020-01-03T09:42:00,2020-01-03T10:00:00,9.29,9.265,9.350000000000001,9.265,16666,1000.0,416.64999999997633,0.4166499999999763,target,<$10,18.0
vp_breakout,WFC,2020-01-03,long,LVN,2020-01-03T13:06:00,2020-01-03T13:17:00,53.6,53.519600000000004,53.519600000000004,53.7769,12437,1000.0,-999.9347999999673,-0.9999347999999673,stop,$50-150,18.0
vp_breakout,AAPL,2020-01-06,long,LVN,2020-01-06T10:20:00,2020-01-06T10:22:00,297.2,297.4437,296.75419999999997,297.4437,2243,1000.0,546.6190999999772,0.5466190999999772,target,$150-300,18.0
vp_breakout,MSFT,2020-01-06,long,LVN,2020-01-06T10:43:00,2020-01-06T11:39:00,158.74,158.5,158.5,159.2688,4166,1000.0,-999.8400000000379,-0.9998400000000379,stop,$150-300,18.0
vp_breakout,TSLA,2020-01-06,long,LVN,2020-01-06T15:45:00,2020-01-06T15:55:00,450.77,451.13,450.093845,452.12230999999997,1478,1000.0,532.0800000000202,0.5320800000000202,session_close,$300+,18.0
vp_breakout,NVDA,2020-01-06,long,LVN,2020-01-06T10:25:00,2020-01-06T10:42:00,235.26,236.1914,234.82,236.1914,2272,1000.0,2116.140799999992,2.116140799999992,target,$150-300,18.0
vp_breakout,ORCL,2020-01-06,long,LVN,2020-01-06T10:34:00,2020-01-06T11:20:00,54.095,54.0,54.0,54.285,10526,1000.0,-999.969999999988,-0.9999699999999879,stop,$50-150,18.0
vp_breakout,CSCO,2020-01-07,short,LVN,2020-01-07T11:57:00,2020-01-07T14:33:00,47.23,47.309999999999995,47.309999999999995,47.07,12500,1000.0,-999.9999999999786,-0.9999999999999786,stop,$10-50,18.0
vp_breakout,ROKU,2020-01-07,short,LVN,2020-01-07T14:58:00,2020-01-07T15:01:00,138.12,138.47,138.47,137.6357,2857,1000.0,-999.9499999999838,-0.9999499999999838,stop,$50-150,18.0
vp_breakout,SNAP,2020-01-07,long,LVN,2020-01-07T15:39:00,2020-01-07T15:55:00,16.985,17.03,16.925,17.104999999999997,16666,1000.0,749.9700000000284,0.7499700000000284,session_close,$10-50,18.0
vp_breakout,AAPL,2020-01-08,long,LVN,2020-01-08T12:09:00,2020-01-08T12:22:00,301.07,301.97321,300.618395,301.97321,2214,1000.0,1999.7069400000032,1.9997069400000032,target,$300+,18.0
vp_breakout,MSFT,2020-01-08,long,LVN,2020-01-08T15:02:00,2020-01-08T15:46:00,160.42,160.17936999999998,160.17936999999998,160.90125999999998,4155,1000.0,-999.817650000042,-0.999817650000042,stop,$150-300,18.0
vp_breakout,NVDA,2020-01-08,long,LVN,2020-01-08T11:41:00,2020-01-08T15:49:00,241.05,240.31,240.31,242.53000000000003,1351,1000.0,-999.7400000000123,-0.9997400000000123,stop,$150-300,18.0
vp_breakout,NFLX,2020-01-08,long,LVN,2020-01-08T11:15:00,2020-01-08T11:37:00,334.66,335.5919,334.15801000000005,335.5919,1992,1000.0,1856.3447999999694,1.8563447999999694,target,$300+,18.0
vp_breakout,MU,2020-01-08,short,LVN,2020-01-08T10:17:00,2020-01-08T10:43:00,57.53,57.2005,57.769999999999996,57.2005,4166,1000.0,1372.6970000000126,1.3726970000000127,target,$50-150,18.0
vp_breakout,DAL,2020-01-08,long,LVN,2020-01-08T09:50:00,2020-01-08T09:54:00,58.67,58.7644,58.510000000000005,58.7644,6250,1000.0,590.0000000000016,0.5900000000000016,target,$50-150,18.0
vp_breakout,AAL,2020-01-08,long,LVN,2020-01-08T15:28:00,2020-01-08T15:40:00,28.075,28.015,28.015,29.0755,16666,1000.0,-999.9599999999787,-0.9999599999999786,stop,$10-50,18.0
vp_breakout,TSLA,2020-01-09,short,LVN,2020-01-09T11:27:00,2020-01-09T11:29:00,482.25,484.34000000000003,484.34000000000003,473.4791,478,1000.0,-999.0200000000152,-0.9990200000000152,stop,$300+,18.0
vp_breakout,NFLX,2020-01-09,short,LVN,2020-01-09T12:24:00,2020-01-09T12:30:00,336.26,335.5919,337.25,335.5919,1010,1000.0,674.7809999999811,0.6747809999999811,target,$300+,18.0
vp_breakout,MU,2020-01-09,short,LVN,2020-01-09T12:35:00,2020-01-09T13:51:00,56.82,56.989999999999995,56.989999999999995,55.6493,5882,1000.0,-999.9399999999682,-0.9999399999999682,stop,$50-150,18.0
vp_breakout,ROKU,2020-01-09,long,LVN,2020-01-09T10:05:00,2020-01-09T10:23:00,138.19,137.73,137.73,139.4891,2173,1000.0,-999.5800000000173,-0.9995800000000173,stop,$50-150,18.0
vp_breakout,AAPL,2020-01-10,short,LVN,2020-01-10T12:09:00,2020-01-10T12:20:00,309.97,309.1265,310.434955,309.1265,2150,1000.0,1813.5250000000128,1.813525000000013,target,$300+,18.0
vp_breakout,MSFT,2020-01-10,short,LVN,2020-01-10T12:08:00,2020-01-10T12:28:00,162.0,162.243,162.243,161.6825,4115,1000.0,-999.9449999999795,-0.9999449999999794,stop,$150-300,18.0
vp_breakout,TSLA,2020-01-10,short,LVN,2020-01-10T11:43:00,2020-01-10T11:45:00,476.67,477.66,477.66,471.7501,1010,1000.0,-999.9000000000092,-0.9999000000000092,stop,$300+,18.0
vp_breakout,NVDA,2020-01-10,short,LVN,2020-01-10T12:09:00,2020-01-10T12:13:00,244.8,245.1672,245.1672,244.2248,2723,1000.0,-999.8855999999914,-0.9998855999999914,stop,$150-300,18.0
vp_breakout,QCOM,2020-01-10,short,LVN,2020-01-10T15:38:00,2020-01-10T15:51:00,90.02,90.185,90.185,89.1527,6060,1000.0,-999.9000000000378,-0.9999000000000379,stop,$50-150,18.0
vp_breakout,F,2020-01-10,short,LVN,2020-01-10T11:32:00,2020-01-10T13:19:00,9.265,9.325000000000001,9.325000000000001,9.2376,16666,1000.0,-999.9600000000083,-0.9999600000000083,stop,<$10,18.0
vp_breakout,ADBE,2020-01-13,long,LVN,2020-01-13T10:01:00,2020-01-13T10:05:00,343.56,343.03999999999996,343.03999999999996,344.6000000000001,1923,1000.0,-999.9600000000744,-0.9999600000000743,stop,$300+,18.0
vp_breakout,NFLX,2020-01-13,long,LVN,2020-01-13T11:03:00,2020-01-13T11:10:00,337.78,338.3387,337.02,338.3387,1315,1000.0,734.6905000000584,0.7346905000000583,target,$300+,18.0
vp_breakout,QCOM,2020-01-13,long,LVN,2020-01-13T09:53:00,2020-01-13T10:24:00,92.27,91.95,91.95,92.90999999999998,3125,1000.0,-999.9999999999786,-0.9999999999999786,stop,$50-150,18.0
vp_breakout,CSCO,2020-01-13,long,LVN,2020-01-13T12:55:00,2020-01-13T13:55:00,47.875,47.795,47.795,48.035,12500,1000.0,-999.9999999999786,-0.9999999999999786,stop,$10-50,18.0
vp_breakout,ROKU,2020-01-13,long,LVN,2020-01-13T13:23:00,2020-01-13T13:27:00,133.31,132.91,132.91,133.55,2499,1000.0,-999.6000000000142,-0.9996000000000143,stop,$50-150,18.0
vp_breakout,NKE,2020-01-13,long,LVN,2020-01-13T09:43:00,2020-01-13T11:12:00,101.12,101.5221,100.84,101.5221,3571,1000.0,1435.8990999999648,1.4358990999999648,target,$50-150,18.0
vp_breakout,NKE,2020-01-14,long,LVN,2020-01-14T09:56:00,2020-01-14T10:07:00,102.845,102.6907325,102.6907325,103.153535,6482,1000.0,-999.9619350000202,-0.9999619350000202,stop,$50-150,18.0
vp_breakout,AAL,2020-01-14,short,LVN,2020-01-14T12:49:00,2020-01-14T13:06:00,27.62,27.69,27.69,27.4514,14285,1000.0,-999.950000000004,-0.999950000000004,stop,$10-50,18.0
vp_breakout,TSLA,2020-01-15,short,LVN,2020-01-15T09:43:00,2020-01-15T09:46:00,523.45,527.9399999999999,527.9399999999999,517.9247,222,1000.0,-996.7799999999768,-0.9967799999999768,stop,$300+,18.0
vp_breakout,ADBE,2020-01-15,short,LVN,2020-01-15T13:57:00,2020-01-15T14:03:00,343.89,344.40583499999997,344.40583499999997,340.1203,1938,1000.0,-999.6882299999639,-0.999688229999964,stop,$300+,18.0
vp_breakout,QCOM,2020-01-15,short,LVN,2020-01-15T12:53:00,2020-01-15T15:55:00,89.73,89.82,89.91,88.6656,5555,1000.0,-499.94999999994,-0.49994999999994,session_close,$50-150,18.0
vp_breakout,MU,2020-01-15,short,LVN,2020-01-15T12:53:00,2020-01-15T12:57:00,56.21,56.309999999999995,56.309999999999995,56.01000000000001,10000,1000.0,-999.9999999999432,-0.9999999999999432,stop,$50-150,18.0
vp_breakout,SNAP,2020-01-15,long,LVN,2020-01-15T09:42:00,2020-01-15T10:49:00,18.15,18.43,18.009999999999998,18.43,7142,1000.0,1999.7600000000082,1.9997600000000082,target,$10-50,18.0
vp_breakout,TSLA,2020-01-16,long,LVN,2020-01-16T13:34:00,2020-01-16T14:46:00,509.35,508.3,508.3,517.8416,952,1000.0,-999.6000000000108,-0.9996000000000108,stop,$300+,18.0
vp_breakout,AMD,2020-01-16,long,LVN,2020-01-16T10:06:00,2020-01-16T10:17:00,50.1,49.93,49.93,50.440000000000005,5882,1000.0,-999.9400000000101,-0.99994000000001,stop,$50-150,18.0
vp_breakout,ROKU,2020-01-16,short,LVN,2020-01-16T10:57:00,2020-01-16T11:06:00,130.73,131.39000000000001,131.39000000000001,130.1205,1515,1000.0,-999.9000000000378,-0.9999000000000379,stop,$50-150,18.0
vp_breakout,AAL,2020-01-16,long,LVN,2020-01-16T13:58:00,2020-01-16T14:01:00,28.15,28.095,28.095,28.259999999999998,18181,1000.0,-999.9549999999948,-0.9999549999999948,stop,$10-50,18.0
vp_breakout,MSFT,2020-01-17,short,LVN,2020-01-17T11:15:00,2020-01-17T11:17:00,165.46,165.70819,165.70819,163.4978,4029,1000.0,-999.9575099999755,-0.9999575099999756,stop,$150-300,18.0
vp_breakout,TSLA,2020-01-17,short,LVN,2020-01-17T12:42:00,2020-01-17T12:48:00,505.42,504.2092,506.26,504.2092,1190,1000.0,1440.8520000000071,1.4408520000000071,target,$300+,18.0
vp_breakout,WFC,2020-01-17,short,LVN,2020-01-17T11:15:00,2020-01-17T11:21:00,48.67,48.5887,48.815,48.5887,6896,1000.0,560.6447999999918,0.5606447999999918,target,$10-50,18.0
vp_breakout,NKE,2020-01-17,long,LVN,2020-01-17T09:57:00,2020-01-17T10:49:00,104.0,104.44,103.78,104.44,4545,1000.0,1999.7999999999897,1.9997999999999898,target,$50-150,18.0
vp_breakout,AAPL,2020-01-21,long,LVN,2020-01-21T10:02:00,2020-01-21T10:07:00,318.94,318.46159,318.46159,319.89682,2090,1000.0,-999.876899999993,-0.9998768999999931,stop,$300+,18.0
vp_breakout,TSLA,2020-01-21,long,LVN,2020-01-21T10:03:00,2020-01-21T10:06:00,542.78,544.5215,539.2700000000001,544.5215,284,1000.0,494.5859999999925,0.49458599999999253,target,$300+,18.0
vp_breakout,CRM,2020-01-21,long,LVN,2020-01-21T10:28:00,2020-01-21T10:29:00,184.7,184.38,184.38,185.33999999999997,3125,1000.0,-999.9999999999786,-0.9999999999999786,stop,$150-300,18.0
vp_breakout,WFC,2020-01-21,long,LVN,2020-01-21T11:54:00,2020-01-21T13:18:00,49.75,49.67,49.67,49.9995,12500,1000.0,-999.9999999999786,-0.9999999999999786,stop,$10-50,18.0
vp_breakout,CRM,2020-01-22,short,LVN,2020-01-22T15:54:00,2020-01-22T15:55:00,183.04,182.905,183.38000000000002,182.6757,2941,1000.0,397.03499999997325,0.39703499999997327,session_close,$150-300,18.0
vp_breakout,QCOM,2020-01-22,short,LVN,2020-01-22T13:39:00,2020-01-22T15:55:00,93.27,92.88,93.409905,91.6116,7147,1000.0,2787.330000000004,2.787330000000004,session_close,$50-150,18.0
vp_breakout,SNAP,2020-01-22,short,LVN,2020-01-22T10:07:00,2020-01-22T10:09:00,19.19,19.1683,19.3,19.1683,9090,1000.0,197.2530000000247,0.19725300000002471,target,$10-50,18.0
vp_breakout,BAC,2020-01-22,short,LVN,2020-01-22T10:06:00,2020-01-22T10:23:00,34.23,34.33,34.33,34.029999999999994,9999,1000.0,-999.9000000000142,-0.9999000000000142,stop,$10-50,18.0
vp_breakout,NFLX,2020-01-23,long,LVN,2020-01-23T10:18:00,2020-01-23T10:20:00,334.46,333.61,333.61,337.7062,1176,1000.0,-999.5999999999599,-0.9995999999999599,stop,$300+,18.0
vp_breakout,ROKU,2020-01-23,long,LVN,2020-01-23T10:25:00,2020-01-23T10:49:00,131.61,131.04999999999998,131.04999999999998,134.0427,1785,1000.0,-999.6000000000548,-0.9996000000000548,stop,$50-150,18.0
vp_breakout,NKE,2020-01-23,long,LVN,2020-01-23T10:01:00,2020-01-23T10:22:00,103.92,103.66,103.66,104.0036,3846,1000.0,-999.9600000000197,-0.9999600000000197,stop,$50-150,18.0
