date,duration_minutes,entry_price,entry_time_et,exit_price,exit_reason,exit_time_et,pnl,pnl_per_share,risk_per_share,score,shares,skipped_reason,stop,symbol,target,wave_id
2026-01-07,1.0,2.83,13:31:00,2.8464,trailing_stop,13:32:00,289.08,0.0164,0.01,7,17667,duplicate_symbol,2.8229,CDIO,0.0,15
2026-01-09,1.0,2.57,19:50:00,2.5337,stop_hit,19:51:00,-707.19,-0.0363,0.0363,7,19455,size_zero_after_bp,2.5337,KUST,0.0,72
2026-01-12,4.0,5.54,17:20:00,5.5361,stop_hit,17:24:00,-34.97,-0.0039,0.01,9,9025,duplicate_symbol,5.5361,OM,0.0,32
2026-01-12,8.0,7.84,18:25:00,7.9552,trailing_stop,18:33:00,734.71,0.1152,0.0296,7,6377,size_zero_after_bp,7.8104,BDSX,0.0,17
2026-01-12,6.0,2.4206,19:00:00,2.4417,trailing_stop,19:06:00,435.58,0.0211,0.0166,8,20656,size_zero_after_bp,2.404,NCEL,0.0,62
2026-01-15,2.0,2.76,08:52:00,2.7332,stop_hit,08:54:00,-486.39,-0.0268,0.0268,8,18115,duplicate_symbol,2.7332,ARAI,0.0,9
2026-01-15,4.0,7.81,10:28:00,7.8753,trailing_stop,10:32:00,418.37,0.0653,0.0693,9,6402,duplicate_symbol,7.7407,QMCO,0.0,6
2026-01-30,95.0,4.35,06:28:00,4.6945,trailing_stop,08:03:00,1137.51,0.3445,0.2104,8,9506,duplicate_symbol,4.1396,DZZ,0.0,14
2026-01-30,9.0,13.61,18:25:00,13.7531,trailing_stop,18:34:00,525.47,0.1431,0.0939,8,3673,duplicate_symbol,13.5161,PMN,0.0,12
2026-02-13,5.0,2.72,09:12:00,2.7566,trailing_stop,09:17:00,672.78,0.0366,0.01,7,18382,duplicate_symbol,2.7132,BATL,0.0,9
2026-02-13,7.0,13.0933,11:36:00,12.3391,stop_hit,11:43:00,-999.35,-0.7542,0.7542,10,1325,size_zero_after_bp,12.3391,UONE,0.0,5
2026-02-13,15.0,10.2,11:40:00,10.18,session_end,11:55:00,-98.02,-0.02,0.0654,9,4901,duplicate_symbol,10.1346,SIF,0.0,11
2026-02-13,5.0,8.83,11:49:00,8.9238,trailing_stop,11:54:00,530.96,0.0938,0.0724,7,5662,size_zero_after_bp,8.7576,FGNX,0.0,19
2026-02-13,5.0,10.205,11:50:00,10.18,session_end,11:55:00,-122.48,-0.025,0.0504,7,4899,duplicate_symbol,10.1546,SIF,0.0,12
2026-02-24,3.0,2.065,11:41:00,2.0548,stop_hit,11:44:00,-248.18,-0.0102,0.0102,7,24213,duplicate_symbol,2.0548,FIGG,0.0,13
2026-02-27,3.0,4.16,11:06:00,4.1848,trailing_stop,11:09:00,297.92,0.0248,0.01,8,12019,duplicate_symbol,4.1596,SLE,0.0,9
2026-03-26,3.0,4.5488,15:18:00,4.4987,stop_hit,15:21:00,-550.37,-0.0501,0.0501,8,10991,duplicate_symbol,4.4987,NDRA,0.0,49
2026-03-26,6.0,2.88,19:43:00,2.9266,trailing_stop,19:49:00,809.43,0.0466,0.0262,7,17361,size_zero_after_bp,2.8538,AIFF,0.0,24
2026-03-26,1.0,7.22,19:48:00,7.256,trailing_stop,19:49:00,249.56,0.036,0.0679,9,6925,size_zero_after_bp,7.1521,MKDW,0.0,53
2026-03-31,24.0,2.13,18:16:00,2.1574,trailing_stop,18:40:00,642.31,0.0274,0.0253,7,23474,duplicate_symbol,2.1047,MASK,0.0,11
2026-04-02,1.0,5.16,08:58:00,5.1986,trailing_stop,08:59:00,373.63,0.0386,0.0229,7,9689,duplicate_symbol,5.1371,BATL,0.0,18
2026-04-02,7.0,3.38,12:21:00,3.4008,trailing_stop,12:28:00,307.86,0.0208,0.0384,7,14792,size_zero_after_bp,3.3416,KIDZ,0.0,44
2026-04-02,132.0,3.42,17:47:00,3.4,session_end,19:59:00,-292.38,-0.02,0.0285,8,14619,duplicate_symbol,3.3915,KIDZ,0.0,75
2026-04-02,55.0,11.64,18:21:00,11.7055,trailing_stop,19:16:00,281.11,0.0655,0.0291,7,4295,size_zero_after_bp,11.6109,VELO,0.0,6
2026-04-02,2.0,3.22,19:52:00,3.192,stop_hit,19:54:00,-434.76,-0.028,0.028,8,15527,duplicate_symbol,3.192,TURB,0.0,54
2026-04-06,4.0,3.2,14:47:00,3.216,trailing_stop,14:51:00,250.0,0.016,0.01,7,15625,duplicate_symbol,3.192,KIDZ,0.0,65
2026-04-06,6.0,3.23,14:55:00,3.202,stop_hit,15:01:00,-433.8,-0.028,0.028,7,15479,duplicate_symbol,3.202,KIDZ,0.0,67
2026-04-06,2.0,2.4,17:17:00,2.4131,trailing_stop,17:19:00,273.43,0.0131,0.0259,8,20833,duplicate_symbol,2.374,RENX,0.0,22
