date,time_et_or_event,equity
session_open,float,300000.0
2026-01-02,07:54:00,299241.48
2026-01-02,11:13:00,299504.47
2026-01-02,11:31:00,300106.55
2026-01-05,11:15:00,299886.64
2026-01-05,11:37:00,300517.38
2026-01-05,11:56:00,299092.0
2026-01-06,09:25:00,299576.88
2026-01-06,11:37:00,299451.72
2026-01-06,11:52:00,299451.72
2026-01-06,11:58:00,299630.6
2026-01-06,15:54:00,297017.88
2026-01-06,19:33:00,297088.93
2026-01-07,09:24:00,297283.23
2026-01-07,13:15:00,296698.74
2026-01-07,14:01:00,295959.33
2026-01-07,15:41:00,296071.82
2026-01-08,09:24:00,296607.37
2026-01-08,09:25:00,297336.59
2026-01-08,11:37:00,297990.16
2026-01-08,18:06:00,300170.84
2026-01-08,19:55:00,299980.57
2026-01-09,06:53:00,300078.96
2026-01-09,07:50:00,304962.48
2026-01-09,10:53:00,305076.25
2026-01-09,12:49:00,305215.58
2026-01-09,13:55:00,305346.95
2026-01-09,14:12:00,305478.32
2026-01-09,14:18:00,304699.65
2026-01-09,15:47:00,304573.94
2026-01-09,15:54:00,304711.97
2026-01-09,17:47:00,304587.81
2026-01-09,19:21:00,304904.01
2026-01-09,19:51:00,304197.79
2026-01-09,19:53:00,304466.0
2026-01-12,09:02:00,304732.37
2026-01-12,09:20:00,305751.85
2026-01-12,09:28:00,307476.61
2026-01-12,09:32:00,306482.39
2026-01-12,11:48:00,307005.59
2026-01-12,12:52:00,307534.64
2026-01-12,13:31:00,307849.61
2026-01-12,15:42:00,308376.76
2026-01-12,18:33:00,309111.39
2026-01-12,19:06:00,309547.23
2026-01-12,19:10:00,309242.18
2026-01-13,09:24:00,308773.61
2026-01-13,10:10:00,309891.49
2026-01-13,10:19:00,307967.93
2026-01-13,15:08:00,308567.06
2026-01-13,16:19:00,306240.3
2026-01-14,05:49:00,306115.3
2026-01-14,07:53:00,306927.52
2026-01-14,10:14:00,306146.85
2026-01-14,11:12:00,306808.0
2026-01-14,12:13:00,306533.33
2026-01-14,16:49:00,306861.45
2026-01-14,17:13:00,307059.36
2026-01-14,17:28:00,307743.01
2026-01-14,19:42:00,308445.04
2026-01-15,09:32:00,307093.1
2026-01-15,10:32:00,307631.85
2026-01-15,10:32:00,308234.1
2026-01-15,11:42:00,308414.32
2026-01-15,11:56:00,306558.74
2026-01-15,11:58:00,306558.74
2026-01-15,16:44:00,307652.7
2026-01-15,16:54:00,308631.25
2026-01-15,19:22:00,308838.8
2026-01-15,19:57:00,308973.57
2026-01-16,06:07:00,309543.18
2026-01-16,06:17:00,319911.6
2026-01-16,08:00:00,323696.6
2026-01-16,08:49:00,324143.03
2026-01-16,08:50:00,324018.03
2026-01-16,08:53:00,323552.13
2026-01-16,09:02:00,323198.93
2026-01-16,09:16:00,323366.36
2026-01-16,09:44:00,324731.43
2026-01-16,10:57:00,324515.22
2026-01-16,17:43:00,325143.85
2026-01-16,19:41:00,324574.97
2026-01-16,19:49:00,324450.35
2026-01-16,19:58:00,324228.63
2026-01-20,05:49:00,324723.06
2026-01-20,07:41:00,324332.7
2026-01-20,09:00:00,323511.8
2026-01-20,13:57:00,323792.13
2026-01-20,18:43:00,321894.37
2026-01-20,19:28:00,322775.1
2026-01-20,19:40:00,322293.01
2026-01-21,08:13:00,356926.24
2026-01-21,09:20:00,356988.89
2026-01-21,09:36:00,354646.75
2026-01-21,11:00:00,355296.02
2026-01-21,11:04:00,355707.67
2026-01-21,11:57:00,355707.67
2026-01-21,11:58:00,353523.49
2026-01-21,14:28:00,353692.07
2026-01-21,14:52:00,354291.83
2026-01-21,16:10:00,354786.87
2026-01-21,16:22:00,355019.62
2026-01-21,17:34:00,355813.31
2026-01-21,17:43:00,355607.49
2026-01-21,18:49:00,356671.02
2026-01-21,19:58:00,356372.3
2026-01-22,11:17:00,357694.55
2026-01-22,11:30:00,358901.42
2026-01-22,16:48:00,359247.34
2026-01-22,19:25:00,358919.79
2026-01-22,19:44:00,359317.5
2026-01-23,09:51:00,360582.49
2026-01-23,10:36:00,361257.72
2026-01-23,11:51:00,360722.11
2026-01-23,17:45:00,360828.52
2026-01-26,06:14:00,361630.24
2026-01-26,06:57:00,361828.16
2026-01-26,09:02:00,362832.95
2026-01-26,18:17:00,363224.35
2026-01-26,19:50:00,362776.14
2026-01-27,08:21:00,361447.67
2026-01-27,08:32:00,378340.91
2026-01-27,11:10:00,379348.13
2026-01-27,15:12:00,378036.25
2026-01-27,17:10:00,379489.11
