date,time_et_or_event,equity
session_open,float,100000.0
2026-01-02,07:54:00,99241.48
2026-01-02,11:13:00,99504.47
2026-01-02,11:31:00,100106.55
2026-01-05,11:15:00,99886.64
2026-01-05,11:37:00,100517.38
2026-01-05,11:56:00,99092.0
2026-01-06,09:25:00,99576.88
2026-01-06,11:37:00,99451.72
2026-01-06,11:52:00,99451.72
2026-01-06,11:58:00,99630.6
2026-01-06,15:54:00,97130.63
2026-01-06,19:33:00,97201.68
2026-01-07,09:24:00,97395.98
2026-01-07,13:15:00,96811.49
2026-01-07,14:01:00,96072.08
2026-01-07,15:41:00,96184.57
2026-01-08,09:24:00,96720.12
2026-01-08,09:25:00,97449.34
2026-01-08,11:37:00,98102.91
2026-01-08,18:06:00,100283.59
2026-01-08,19:55:00,100093.32
2026-01-09,06:53:00,100191.71
2026-01-09,07:50:00,105075.23
2026-01-09,10:53:00,105189.0
2026-01-09,12:49:00,105328.33
2026-01-09,13:55:00,105459.7
2026-01-09,14:12:00,105591.07
2026-01-09,14:18:00,104812.4
2026-01-09,15:47:00,104686.69
2026-01-09,15:54:00,104824.72
2026-01-09,17:47:00,104700.56
2026-01-09,19:21:00,105016.76
2026-01-09,19:51:00,104310.54
2026-01-09,19:53:00,104578.75
2026-01-12,09:02:00,104845.12
2026-01-12,09:20:00,105864.6
2026-01-12,09:28:00,107589.36
2026-01-12,09:32:00,106595.14
2026-01-12,11:48:00,107118.34
2026-01-12,12:52:00,107647.39
2026-01-12,13:31:00,107962.36
2026-01-12,15:42:00,108489.51
2026-01-12,18:33:00,109224.14
2026-01-12,19:06:00,109659.98
2026-01-12,19:10:00,109354.93
2026-01-13,09:24:00,108886.36
2026-01-13,10:10:00,110004.24
2026-01-13,10:19:00,108080.68
2026-01-13,15:08:00,108679.81
2026-01-13,16:19:00,106353.05
2026-01-14,05:49:00,106228.05
2026-01-14,07:53:00,107040.27
2026-01-14,10:14:00,106259.6
2026-01-14,11:12:00,106920.75
2026-01-14,12:13:00,106646.08
2026-01-14,16:49:00,106974.2
2026-01-14,17:13:00,107172.11
2026-01-14,17:28:00,107855.76
2026-01-14,19:42:00,108557.79
2026-01-15,09:32:00,107205.85
2026-01-15,10:32:00,107744.6
2026-01-15,10:32:00,108346.85
2026-01-15,11:42:00,108527.07
2026-01-15,11:56:00,106671.49
2026-01-15,11:58:00,106671.49
2026-01-15,16:44:00,107765.45
2026-01-15,16:54:00,108744.0
2026-01-15,19:22:00,108951.55
2026-01-15,19:57:00,109086.32
2026-01-16,06:07:00,109655.93
2026-01-16,06:17:00,117607.07
2026-01-16,08:00:00,121392.07
2026-01-16,08:49:00,121838.5
2026-01-16,08:50:00,121713.5
2026-01-16,08:53:00,121247.6
2026-01-16,09:02:00,120894.4
