date,time_et_or_event,equity
session_open,float,100000.0
2026-01-02,07:54:00,99241.48
2026-01-02,11:13:00,99504.47
2026-01-02,11:31:00,100106.55
2026-01-05,11:15:00,99886.64
2026-01-05,11:37:00,100517.38
2026-01-05,11:56:00,99377.09
2026-01-06,09:25:00,99861.97
2026-01-06,11:37:00,99736.81
2026-01-06,11:52:00,99736.81
2026-01-06,11:58:00,99915.69
2026-01-06,15:54:00,98415.73
2026-01-06,19:33:00,98486.78
2026-01-07,09:24:00,98681.08
2026-01-07,13:15:00,98096.59
2026-01-07,14:01:00,97357.18
2026-01-07,15:41:00,97469.67
2026-01-08,09:24:00,98005.22
2026-01-08,09:25:00,98734.44
2026-01-08,11:37:00,99388.01
2026-01-08,18:06:00,101568.69
2026-01-08,19:55:00,101378.42
2026-01-09,06:53:00,101476.81
2026-01-09,07:50:00,105373.33
2026-01-09,10:53:00,105487.1
2026-01-09,12:49:00,105626.43
2026-01-09,13:55:00,105757.8
2026-01-09,14:12:00,105889.17
2026-01-09,14:18:00,105110.5
2026-01-09,15:47:00,104984.79
2026-01-09,15:54:00,105122.82
2026-01-09,17:47:00,104998.66
2026-01-09,19:21:00,105314.86
2026-01-09,19:51:00,104608.64
2026-01-09,19:53:00,104876.85
2026-01-12,09:02:00,105143.22
2026-01-12,09:20:00,106162.7
2026-01-12,09:28:00,107887.46
2026-01-12,09:32:00,106893.24
2026-01-12,11:48:00,107416.44
2026-01-12,12:52:00,107945.49
2026-01-12,13:31:00,108260.46
2026-01-12,15:42:00,108787.61
2026-01-12,18:33:00,109522.24
2026-01-12,19:06:00,109958.08
2026-01-12,19:10:00,109653.03
2026-01-13,09:24:00,109184.46
2026-01-13,10:10:00,110302.34
2026-01-13,10:19:00,108802.49
2026-01-13,15:08:00,109401.62
2026-01-13,16:19:00,107902.07
2026-01-14,05:49:00,107777.07
2026-01-14,07:53:00,108589.29
2026-01-14,10:14:00,107808.62
2026-01-14,11:12:00,108469.77
2026-01-14,12:13:00,108195.1
2026-01-14,16:49:00,108523.22
2026-01-14,17:13:00,108721.13
2026-01-14,17:28:00,109404.78
2026-01-14,19:42:00,110106.81
2026-01-15,09:32:00,108754.87
2026-01-15,10:32:00,109293.62
2026-01-15,10:32:00,109895.87
2026-01-15,11:42:00,110076.09
2026-01-15,11:56:00,108576.23
2026-01-15,11:58:00,108576.23
2026-01-15,16:44:00,109670.19
2026-01-15,16:54:00,110648.74
2026-01-15,19:22:00,110856.29
2026-01-15,19:57:00,110991.06
2026-01-16,06:07:00,111560.67
2026-01-16,06:17:00,116331.35
2026-01-16,08:00:00,120116.35
2026-01-16,08:49:00,120562.78
2026-01-16,08:50:00,120437.78
2026-01-16,08:53:00,119971.88
2026-01-16,09:02:00,119618.68
