YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[71/84] 2026-04-13 (15 syms) | SQ: 1t $+771   | eq=$194,622 (cap=$387,702) | YTD SQ=$+164,622 SH=$+0 Combined=$+164,622
[72/84] 2026-04-14 (14 syms) | SQ: 0t $+0   | eq=$194,622 (cap=$389,244) | YTD SQ=$+164,622 SH=$+0 Combined=$+164,622
[73/84] 2026-04-15 (3 syms) | SQ: 6t $-949   | eq=$193,673 (cap=$389,244) | YTD SQ=$+163,673 SH=$+0 Combined=$+163,673
[74/84] 2026-04-16 (15 syms) | SQ: 0t $+0   | eq=$193,673 (cap=$387,346) | YTD SQ=$+163,673 SH=$+0 Combined=$+163,673
[76/84] 2026-04-20 (5 syms) | SQ: 1t $-143   | eq=$193,530 (cap=$387,346) | YTD SQ=$+163,530 SH=$+0 Combined=$+163,530
[78/84] 2026-04-22 (11 syms) | SQ: 0t $+0   | eq=$193,530 (cap=$387,060) | YTD SQ=$+163,530 SH=$+0 Combined=$+163,530
[79/84] 2026-04-23 (1 syms) | SQ: 0t $+0   | eq=$193,530 (cap=$387,060) | YTD SQ=$+163,530 SH=$+0 Combined=$+163,530
[80/84] 2026-04-24 (1 syms) | SQ: 6t $+4,032   | eq=$197,562 (cap=$387,060) | YTD SQ=$+167,562 SH=$+0 Combined=$+167,562
[84/84] 2026-04-30 (15 syms) | SQ: 1t $-500   | eq=$197,062 (cap=$395,124) | YTD SQ=$+167,062 SH=$+0 Combined=$+167,062

======================================================================
SQUEEZE: 179 trades, 29W/26L (16% WR), $+167,062
COMBINED: $+167,062
EQUITY:   $30,000 → $197,062 (+556.9%)
======================================================================
