YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[71/84] 2026-04-13 (15 syms) | SQ: 1t $+771   | eq=$220,821 (cap=$440,100) | YTD SQ=$+190,821 SH=$+0 Combined=$+190,821
[72/84] 2026-04-14 (14 syms) | SQ: 0t $+0   | eq=$220,821 (cap=$441,642) | YTD SQ=$+190,821 SH=$+0 Combined=$+190,821
[73/84] 2026-04-15 (3 syms) | SQ: 7t $+750   | eq=$221,571 (cap=$441,642) | YTD SQ=$+191,571 SH=$+0 Combined=$+191,571
[74/84] 2026-04-16 (15 syms) | SQ: 0t $+0   | eq=$221,571 (cap=$443,142) | YTD SQ=$+191,571 SH=$+0 Combined=$+191,571
[76/84] 2026-04-20 (5 syms) | SQ: 1t $-143   | eq=$221,428 (cap=$443,142) | YTD SQ=$+191,428 SH=$+0 Combined=$+191,428
[78/84] 2026-04-22 (11 syms) | SQ: 0t $+0   | eq=$221,428 (cap=$442,856) | YTD SQ=$+191,428 SH=$+0 Combined=$+191,428
[79/84] 2026-04-23 (1 syms) | SQ: 0t $+0   | eq=$221,428 (cap=$442,856) | YTD SQ=$+191,428 SH=$+0 Combined=$+191,428
[80/84] 2026-04-24 (1 syms) | SQ: 6t $+4,032   | eq=$225,460 (cap=$442,856) | YTD SQ=$+195,460 SH=$+0 Combined=$+195,460
[84/84] 2026-04-30 (15 syms) | SQ: 1t $-500   | eq=$224,960 (cap=$450,920) | YTD SQ=$+194,960 SH=$+0 Combined=$+194,960

======================================================================
SQUEEZE: 188 trades, 32W/23L (17% WR), $+194,960
COMBINED: $+194,960
EQUITY:   $30,000 → $224,960 (+649.9%)
======================================================================
