YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[71/84] 2026-04-13 (15 syms) | SQ: 1t $+771   | eq=$211,098 (cap=$420,654) | YTD SQ=$+181,098 SH=$+0 Combined=$+181,098
[72/84] 2026-04-14 (14 syms) | SQ: 0t $+0   | eq=$211,098 (cap=$422,196) | YTD SQ=$+181,098 SH=$+0 Combined=$+181,098
[73/84] 2026-04-15 (3 syms) | SQ: 6t $-949   | eq=$210,149 (cap=$422,196) | YTD SQ=$+180,149 SH=$+0 Combined=$+180,149
[74/84] 2026-04-16 (15 syms) | SQ: 0t $+0   | eq=$210,149 (cap=$420,298) | YTD SQ=$+180,149 SH=$+0 Combined=$+180,149
[76/84] 2026-04-20 (5 syms) | SQ: 1t $-143   | eq=$210,006 (cap=$420,298) | YTD SQ=$+180,006 SH=$+0 Combined=$+180,006
[78/84] 2026-04-22 (11 syms) | SQ: 0t $+0   | eq=$210,006 (cap=$420,012) | YTD SQ=$+180,006 SH=$+0 Combined=$+180,006
[79/84] 2026-04-23 (1 syms) | SQ: 0t $+0   | eq=$210,006 (cap=$420,012) | YTD SQ=$+180,006 SH=$+0 Combined=$+180,006
[80/84] 2026-04-24 (1 syms) | SQ: 6t $+4,032   | eq=$214,038 (cap=$420,012) | YTD SQ=$+184,038 SH=$+0 Combined=$+184,038
[84/84] 2026-04-30 (15 syms) | SQ: 1t $-500   | eq=$213,538 (cap=$428,076) | YTD SQ=$+183,538 SH=$+0 Combined=$+183,538

======================================================================
SQUEEZE: 179 trades, 31W/24L (17% WR), $+183,538
COMBINED: $+183,538
EQUITY:   $30,000 → $213,538 (+611.8%)
======================================================================
