YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[71/84] 2026-04-13 (15 syms) | SQ: 1t $+771   | eq=$207,367 (cap=$413,192) | YTD SQ=$+177,367 SH=$+0 Combined=$+177,367
[72/84] 2026-04-14 (14 syms) | SQ: 0t $+0   | eq=$207,367 (cap=$414,734) | YTD SQ=$+177,367 SH=$+0 Combined=$+177,367
[73/84] 2026-04-15 (3 syms) | SQ: 6t $-949   | eq=$206,418 (cap=$414,734) | YTD SQ=$+176,418 SH=$+0 Combined=$+176,418
[74/84] 2026-04-16 (15 syms) | SQ: 0t $+0   | eq=$206,418 (cap=$412,836) | YTD SQ=$+176,418 SH=$+0 Combined=$+176,418
[76/84] 2026-04-20 (5 syms) | SQ: 1t $-143   | eq=$206,275 (cap=$412,836) | YTD SQ=$+176,275 SH=$+0 Combined=$+176,275
[78/84] 2026-04-22 (11 syms) | SQ: 0t $+0   | eq=$206,275 (cap=$412,550) | YTD SQ=$+176,275 SH=$+0 Combined=$+176,275
[79/84] 2026-04-23 (1 syms) | SQ: 0t $+0   | eq=$206,275 (cap=$412,550) | YTD SQ=$+176,275 SH=$+0 Combined=$+176,275
[80/84] 2026-04-24 (1 syms) | SQ: 6t $+4,032   | eq=$210,307 (cap=$412,550) | YTD SQ=$+180,307 SH=$+0 Combined=$+180,307
[84/84] 2026-04-30 (15 syms) | SQ: 1t $-500   | eq=$209,807 (cap=$420,614) | YTD SQ=$+179,807 SH=$+0 Combined=$+179,807

======================================================================
SQUEEZE: 179 trades, 31W/24L (17% WR), $+179,807
COMBINED: $+179,807
EQUITY:   $30,000 → $209,807 (+599.4%)
======================================================================
