YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[71/84] 2026-04-13 (15 syms) | SQ: 1t $+761   | eq=$174,098 (cap=$346,674) | YTD SQ=$+144,098 SH=$+0 Combined=$+144,098
[72/84] 2026-04-14 (14 syms) | SQ: 0t $+0   | eq=$174,098 (cap=$348,196) | YTD SQ=$+144,098 SH=$+0 Combined=$+144,098
[73/84] 2026-04-15 (3 syms) | SQ: 6t $-660   | eq=$173,438 (cap=$348,196) | YTD SQ=$+143,438 SH=$+0 Combined=$+143,438
[74/84] 2026-04-16 (15 syms) | SQ: 0t $+0   | eq=$173,438 (cap=$346,876) | YTD SQ=$+143,438 SH=$+0 Combined=$+143,438
[76/84] 2026-04-20 (5 syms) | SQ: 1t $-143   | eq=$173,295 (cap=$346,876) | YTD SQ=$+143,295 SH=$+0 Combined=$+143,295
[78/84] 2026-04-22 (11 syms) | SQ: 0t $+0   | eq=$173,295 (cap=$346,590) | YTD SQ=$+143,295 SH=$+0 Combined=$+143,295
[79/84] 2026-04-23 (1 syms) | SQ: 0t $+0   | eq=$173,295 (cap=$346,590) | YTD SQ=$+143,295 SH=$+0 Combined=$+143,295
[80/84] 2026-04-24 (1 syms) | SQ: 8t $+2,761   | eq=$176,056 (cap=$346,590) | YTD SQ=$+146,056 SH=$+0 Combined=$+146,056
[84/84] 2026-04-30 (15 syms) | SQ: 1t $-500   | eq=$175,556 (cap=$352,112) | YTD SQ=$+145,556 SH=$+0 Combined=$+145,556

======================================================================
SQUEEZE: 179 trades, 31W/24L (17% WR), $+145,556
COMBINED: $+145,556
EQUITY:   $30,000 → $175,556 (+485.2%)
======================================================================
