YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[71/84] 2026-04-13 (15 syms) | SQ: 1t $+428   | eq=$184,286 (cap=$367,716) | YTD SQ=$+154,286 SH=$+0 Combined=$+154,286
[72/84] 2026-04-14 (14 syms) | SQ: 0t $+0   | eq=$184,286 (cap=$368,572) | YTD SQ=$+154,286 SH=$+0 Combined=$+154,286
[73/84] 2026-04-15 (3 syms) | SQ: 6t $-2,204   | eq=$182,082 (cap=$368,572) | YTD SQ=$+152,082 SH=$+0 Combined=$+152,082
[74/84] 2026-04-16 (15 syms) | SQ: 0t $+0   | eq=$182,082 (cap=$364,164) | YTD SQ=$+152,082 SH=$+0 Combined=$+152,082
[76/84] 2026-04-20 (5 syms) | SQ: 1t $-143   | eq=$181,939 (cap=$364,164) | YTD SQ=$+151,939 SH=$+0 Combined=$+151,939
[78/84] 2026-04-22 (11 syms) | SQ: 0t $+0   | eq=$181,939 (cap=$363,878) | YTD SQ=$+151,939 SH=$+0 Combined=$+151,939
[79/84] 2026-04-23 (1 syms) | SQ: 0t $+0   | eq=$181,939 (cap=$363,878) | YTD SQ=$+151,939 SH=$+0 Combined=$+151,939
[80/84] 2026-04-24 (1 syms) | SQ: 6t $+2,512   | eq=$184,451 (cap=$363,878) | YTD SQ=$+154,451 SH=$+0 Combined=$+154,451
[84/84] 2026-04-30 (15 syms) | SQ: 1t $-500   | eq=$183,951 (cap=$368,902) | YTD SQ=$+153,951 SH=$+0 Combined=$+153,951

======================================================================
SQUEEZE: 179 trades, 29W/26L (16% WR), $+153,951
COMBINED: $+153,951
EQUITY:   $30,000 → $183,951 (+513.2%)
======================================================================
