YTD Backtest: 84 dates (2026-01-02 → 2026-04-30)
  Squeeze: ON  (MP forced OFF)
  Short:   OFF
  Filters: gap=5.0-500.0% price=$2.0-$20.0 float<20.0M rvol>1.5x pmvol>30,000
  Compounding: start=$30,000  bp_pct=50%×4×eq  notional_cap=none

[71/84] 2026-04-13 (15 syms) | SQ: 1t $+771   | eq=$200,997 (cap=$400,452) | YTD SQ=$+170,997 SH=$+0 Combined=$+170,997
[72/84] 2026-04-14 (14 syms) | SQ: 0t $+0   | eq=$200,997 (cap=$401,994) | YTD SQ=$+170,997 SH=$+0 Combined=$+170,997
[73/84] 2026-04-15 (3 syms) | SQ: 6t $-1,057   | eq=$199,940 (cap=$401,994) | YTD SQ=$+169,940 SH=$+0 Combined=$+169,940
[74/84] 2026-04-16 (15 syms) | SQ: 0t $+0   | eq=$199,940 (cap=$399,880) | YTD SQ=$+169,940 SH=$+0 Combined=$+169,940
[76/84] 2026-04-20 (5 syms) | SQ: 1t $+60   | eq=$200,000 (cap=$399,880) | YTD SQ=$+170,000 SH=$+0 Combined=$+170,000
[78/84] 2026-04-22 (11 syms) | SQ: 0t $+0   | eq=$200,000 (cap=$400,000) | YTD SQ=$+170,000 SH=$+0 Combined=$+170,000
[79/84] 2026-04-23 (1 syms) | SQ: 0t $+0   | eq=$200,000 (cap=$400,000) | YTD SQ=$+170,000 SH=$+0 Combined=$+170,000
[80/84] 2026-04-24 (1 syms) | SQ: 6t $+3,486   | eq=$203,486 (cap=$400,000) | YTD SQ=$+173,486 SH=$+0 Combined=$+173,486
[84/84] 2026-04-30 (15 syms) | SQ: 1t $-500   | eq=$202,986 (cap=$406,972) | YTD SQ=$+172,986 SH=$+0 Combined=$+172,986

======================================================================
SQUEEZE: 180 trades, 34W/22L (19% WR), $+172,986
COMBINED: $+172,986
EQUITY:   $30,000 → $202,986 (+576.6%)
======================================================================
