symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
HCAI,2026-04-30,41,8,06:25:00,6.5,0.0,6.1745,06:27:00,7.0973,trailing_stop,0.5973,3072,1834.79,0.3255,2.0
HCAI,2026-04-30,45,8,04:58:00,5.93,0.0,5.8653,05:07:00,6.0577,trailing_stop,0.1277,8431,1076.22,0.0647,9.0
HCAI,2026-04-30,51,8,06:25:00,6.5,0.0,6.1745,06:27:00,7.0973,trailing_stop,0.5973,3072,1834.79,0.3255,2.0
HCAI,2026-04-30,66,8,18:51:00,10.49,0.0,10.4339,19:02:00,10.4339,stop_hit,-0.0561,4766,-267.61,0.0561,11.0
IONZ,2026-04-30,3,7,05:46:00,7.88,0.0,7.8603,06:01:00,7.9002,trailing_stop,0.0202,6345,127.85,0.0197,15.0
LLYX,2026-04-30,18,7,08:28:00,16.3897,0.0,16.2692,08:30:00,16.2692,stop_hit,-0.1205,3050,-367.45,0.1205,2.0
LLYX,2026-04-30,19,10,08:33:00,16.45,0.0,16.2892,08:57:00,16.2892,stop_hit,-0.1608,3039,-488.75,0.1608,24.0
LLYX,2026-04-30,21,9,08:43:00,16.36,0.0,16.2692,08:45:00,16.4236,trailing_stop,0.0636,3056,194.4,0.0908,2.0
LLYX,2026-04-30,23,9,08:52:00,16.38,0.0,16.2925,08:57:00,16.2925,stop_hit,-0.0875,3052,-267.15,0.0875,5.0
LLYX,2026-04-30,62,7,08:28:00,16.3897,0.0,16.2692,08:30:00,16.2692,stop_hit,-0.1205,3050,-367.45,0.1205,2.0
LLYX,2026-04-30,63,10,08:33:00,16.45,0.0,16.2892,08:57:00,16.2892,stop_hit,-0.1608,3039,-488.75,0.1608,24.0
LLYX,2026-04-30,65,9,08:43:00,16.36,0.0,16.2692,08:45:00,16.4236,trailing_stop,0.0636,3056,194.4,0.0908,2.0
LLYX,2026-04-30,67,9,08:52:00,16.38,0.0,16.2925,08:57:00,16.2925,stop_hit,-0.0875,3052,-267.15,0.0875,5.0
LLYX,2026-04-30,101,10,18:26:00,17.43,0.0,17.3465,18:54:00,17.3465,stop_hit,-0.0835,2868,-239.41,0.0835,28.0
WNW,2026-04-30,9,7,12:51:00,3.93,0.0,3.8803,04:00:00,3.8803,stop_hit,-0.0497,10055,-499.98,0.0497,-531.0
WNW,2026-04-30,63,7,17:33:00,4.29,0.0,4.2095,17:37:00,4.2095,stop_hit,-0.0805,6207,-499.97,0.0805,4.0
WNW,2026-04-30,79,7,19:38:00,4.16,0.0,4.1296,19:40:00,4.2748,trailing_stop,0.1148,12019,1380.08,0.0304,2.0
BMNU,2026-05-01,17,7,14:50:00,2.04,0.0,2.0248,15:05:00,2.0248,stop_hit,-0.0152,24509,-371.92,0.0152,15.0
BMNU,2026-05-01,20,10,15:24:00,2.04,0.0,2.0199,15:55:00,2.03,time_stop,-0.01,24509,-245.09,0.0201,31.0
