strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,anchor_type,anchor_date
AVWAP-Breakout,AAPL,2024-01-08,long,2024-01-08T12:00:00,2024-01-08T12:03:00,183.84,184.09000000000006,183.71499999999997,184.09000000000006,3344,1000.0,836.0000000001901,0.83600000000019,target,gap_day,2024-01-02
AVWAP-Breakout,AAPL,2024-01-09,long,2024-01-09T11:17:00,2024-01-09T11:54:00,184.075,184.615,183.80499999999998,184.615,1750,1000.0,945.0000000000358,0.9450000000000358,target,gap_day,2024-01-02
AVWAP-Breakout,AAPL,2024-01-11,long,2024-01-11T10:32:00,2024-01-11T10:33:00,184.61,184.39,184.39,185.05000000000007,1777,1000.0,-390.9400000000485,-0.39094000000004847,stop,gap_day,2024-01-02
AVWAP-Breakout,TSLA,2024-01-17,long,2024-01-17T14:57:00,2024-01-17T14:59:00,214.69,214.51,214.51,215.05,1468,1000.0,-264.24000000001,-0.26424000000001,stop,gap_day,2024-01-12
AVWAP-Breakout,TSLA,2024-01-19,long,2024-01-19T15:55:00,2024-01-19T15:56:00,212.16,212.04,211.83999999999997,212.80000000000004,3050,1000.0,-366.00000000001387,-0.36600000000001387,session_close,gap_day,2024-01-12
AVWAP-Breakout,TSLA,2024-01-31,long,2024-01-31T10:48:00,2024-01-31T10:55:00,190.35,189.98999999999998,189.98999999999998,191.07000000000002,2629,1000.0,-946.4400000000359,-0.9464400000000359,stop,gap_day,2024-01-30
AVWAP-Breakout,META,2024-02-01,long,2024-02-01T12:10:00,2024-02-01T12:20:00,396.87,395.87,395.87,398.87,629,1000.0,-629.0,-0.629,stop,gap_day,2024-01-31
AVWAP-Breakout,MSFT,2024-02-01,long,2024-02-01T12:56:00,2024-02-01T12:57:00,405.0,404.58,404.58,405.84000000000003,681,1000.0,-286.02000000001084,-0.2860200000000108,stop,earnings,2024-01-31
AVWAP-Breakout,TSLA,2024-02-01,long,2024-02-01T13:32:00,2024-02-01T13:37:00,187.84,187.45999999999998,187.45999999999998,188.60000000000005,1469,1000.0,-558.220000000035,-0.558220000000035,stop,earnings,2024-01-25
AVWAP-Breakout,TSLA,2024-02-05,long,2024-02-05T12:32:00,2024-02-05T12:59:00,180.82,181.92000000000002,180.26999999999998,181.92000000000002,1818,1000.0,1999.8000000000413,1.9998000000000413,target,gap_day,2024-01-31
AVWAP-Breakout,NVDA,2024-02-06,long,2024-02-06T13:33:00,2024-02-06T13:39:00,670.77,673.2099999999998,669.5500000000001,673.2099999999998,794,1000.0,1937.3599999998628,1.9373599999998627,target,gap_day,2024-01-31
