Scanner Results — 2025-12-08
============================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol
──────── ─────── ─────── ──────── ─────── ──────── ──────────
CETX       +83.1%   12.91    0.75M       A    07:00 22,317,607.0
PHGE       +59.5%    5.20    1.24M       A    07:00    1,360.0
GRI        +55.6%    2.10    1.45M       A    07:00    3,163.0
WKHS       +43.0%   10.85    3.47M       A    09:30  192,652.0
LZMH       +34.1%    2.32    4.93M       A    07:00   72,865.0
FGI        +26.5%    9.94    0.52M       A    07:00   30,680.0
DEVS       +24.4%    2.09     2.1M       A    09:30   28,654.0
ALOY       +24.1%    9.80    3.14M       A    07:00   30,882.0
WHLR       +21.9%    5.78    0.19M       A    09:30  349,514.0
LICN       +21.1%    4.01    0.76M       A    07:00   35,921.0
MOB        +21.0%    8.19    6.86M       B    09:30    9,159.0
YSXT       +19.8%    2.30    8.97M       B    09:30   18,072.0
JFBR       +19.8%    2.18    0.03M       A    07:00 2,787,797.0
AHMA       +19.5%    8.65    2.02M       A    07:00    4,661.0
EPSM       +19.4%    3.76    2.64M       A    07:00    1,092.0
MOVE       +17.3%    8.69     0.6M       A    07:04      350.0
PMAX       +17.2%    3.20    0.38M       A    07:00    8,974.0
BEX        +16.3%   19.55      N/A       X    07:00    3,041.0
ELWT       +15.9%    6.76    3.92M       A    09:30      213.0
MSOX       +15.8%    4.10      N/A       X    07:02      200.0
DRMA       +15.5%    3.20     0.5M       A    07:00  108,471.0
NEPH       +14.6%    5.65    9.62M       B    09:30    1,822.0
DBGI       +14.5%    8.53    6.33M       B    07:03    1,046.0
GURE       +14.3%    6.30    1.01M       A    07:00   36,231.0
ENVB       +13.7%    6.90     0.5M       A    07:02      175.0
NDRA       +13.1%    6.20     1.1M       A    07:00      200.0
FLYT       +12.7%   12.58    0.31M       A    07:00    3,540.0
SABS       +12.7%    4.00    7.92M       B    09:30   12,234.0
AGIG       +12.5%    2.16    8.66M       B    07:00   11,343.0
PXIU       +11.8%    3.89      N/A       X    07:00    5,642.0
RETO       +11.5%    3.48    0.77M       A    07:00   39,052.0
OMDA       +11.4%   17.44    4.45M       A    09:30   20,851.0
VENU       +11.2%   10.94    6.26M       B    09:30    1,070.0
CPIX       +11.1%    2.41    8.64M       B    09:30      788.0
GEMG       +10.3%    6.88    0.06M       A    09:30      100.0
AIXC       +10.1%    2.50    5.07M       B    07:00    4,019.0
AIRS       +10.1%    3.05    6.37M       B    09:30    6,854.0
MYSE        +9.6%    2.62    3.97M       A    07:00    1,000.0
BQ          +9.6%    2.40    2.78M       A    07:00   19,848.0
BAIG        +9.4%   15.54    0.84M       A    07:00   12,352.0
IBG         +9.1%    2.87     0.2M       A    07:00    6,938.0
SNSE        +9.1%    8.99     0.7M       A    09:30    3,976.0
ARTV        +9.1%    3.36    4.06M       A    09:30      938.0
JYD         +8.8%    4.18    0.64M       A    09:30    1,687.0
VRCA        +8.8%    8.82    3.32M       A    09:30   17,905.0
SRPU        +8.7%   17.38      N/A       X    09:30      119.0
BRR         +8.3%    4.05      N/A       X    07:00    2,458.0
ZSTK        +8.2%    9.95    2.32M       A    07:00      100.0
KOSS        +8.1%    4.96     5.5M       B    09:30   11,550.0
WEED        +8.0%   16.90    0.49M       A    09:30      220.0
UUU         +8.0%    4.46    1.57M       A    09:30    7,771.0
MSOS        +7.7%    3.90      N/A       X    07:00    4,175.0
AIMD        +7.7%    2.37    1.69M       A    09:30    4,307.0
JVA         +7.7%    3.63    4.57M       A    09:30    1,639.0
QBTZ        +7.5%   12.11    0.53M       A    07:00   29,778.0
CARL        +7.5%   13.23    9.65M       B    09:30      599.0
