Scanner Results — 2025-12-15
============================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol
──────── ─────── ─────── ──────── ─────── ──────── ──────────
ADTX       +59.0%    2.29    0.06M       A    07:00      174.0
ASNS       +42.2%    2.19    1.41M       A    07:00    5,900.0
CIFG       +35.0%   12.38    0.24M       A    07:00      238.0
BMNU       +31.7%    8.48      N/A       X    07:00 1,582,912.0
BMNG       +31.5%    5.63    1.98M       A    07:00  121,004.0
PHGE       +31.2%    2.27    1.24M       A    09:30    1,167.0
PXIU       +31.1%    2.73      N/A       X    07:00    5,639.0
SDOT       +30.9%    2.71    0.85M       A    09:30    3,079.0
IREX       +30.3%   12.08      N/A       X    07:00   44,734.0
FEED       +27.6%    4.94    0.85M       A    07:00      100.0
RIOX       +26.7%   17.30    1.08M       A    07:00      501.0
NCEL       +26.4%    3.16    2.06M       A    07:02      230.0
FOXX       +26.2%    4.63     1.4M       A    07:04      841.0
CETX       +25.4%    3.01    0.75M       A    07:00   19,383.0
SBTU       +25.2%   11.13      N/A       X    09:30      111.0
EFOI       +24.8%    2.52    2.35M       A    09:30    1,222.0
NTRP       +24.3%    3.73    6.29M       B    07:00    2,920.0
CRCG       +24.3%    3.00    4.32M       A    07:00  199,858.0
GEMG       +24.1%    7.49    0.06M       A    07:00      570.0
CCUP       +24.0%    5.01      N/A       X    07:00   41,150.0
CRCA       +23.6%    4.66      N/A       X    07:00  414,040.0
JLHL       +23.5%    3.89    1.45M       A    09:30      248.0
QSU        +23.3%    8.92    2.59M       A    07:00      878.0
RGTX       +22.8%   17.86    2.55M       A    07:00   34,257.0
FRGT       +22.6%    2.98    0.46M       A    09:30   20,211.0
BNAI       +22.3%    2.58     3.3M       A    07:00    1,366.0
YOLO       +22.2%    4.41      N/A       X    07:00   11,889.0
GLGG       +21.9%   13.59    0.06M       A    07:00    3,097.0
VOYX       +21.7%   16.21      N/A       X    09:30    2,701.0
QNTM       +21.4%    9.41    3.58M       A    09:30      907.0
GLXU       +21.4%   16.60      N/A       X    07:00    2,453.0
ZJK        +21.3%    2.39    7.15M       B    09:30      100.0
FLYT       +20.6%   15.07    0.31M       A    09:30    1,799.0
ONCO       +20.3%    2.37    1.26M       A    09:30    6,530.0
JXG        +20.1%    7.35    0.18M       A    09:30    1,959.0
CRWG       +20.1%    3.77     5.2M       B    07:00  456,307.0
NBIG       +20.0%    7.53    0.85M       A    07:00    1,689.0
VELO       +20.0%   11.65     3.9M       A    07:00    3,665.0
ZGM        +19.7%    2.98      N/A       X    09:30    7,225.0
BBGI       +19.6%    6.90    0.62M       A    07:00    1,309.0
XHLD       +19.5%    2.33    1.27M       A    07:10      178.0
MSTP       +19.4%    3.81    0.04M       A    07:00    4,479.0
CRWU       +19.2%    6.95      N/A       X    07:00    9,064.0
SOUX       +19.2%   18.70    0.63M       A    07:00    3,344.0
NBIL       +19.1%   10.45      N/A       X    07:00   18,625.0
EZGO       +18.6%    2.55      N/A       X    07:00    2,500.0
FGI        +18.0%    6.35    0.52M       A    09:30    5,072.0
CMCT       +18.0%    4.20    0.74M       A    07:00    1,523.0
ELAB       +17.8%    3.90     2.1M       A    07:00    1,504.0
NOWL       +17.7%   17.00      N/A       X    07:00      781.0
CDIO       +17.5%    3.62     1.7M       A    09:30    1,032.0
VWAV       +17.4%    9.16    5.22M       B    07:00      259.0
MST        +17.3%    8.00    0.67M       A    07:00    2,250.0
ARAI       +17.3%    3.80    6.23M       B    07:00      766.0
STI        +17.2%    7.75    2.19M       A    07:05      296.0
ASTC       +17.2%    4.08    1.32M       A    07:00    6,571.0
LCDL       +17.1%    4.85    0.27M       A    07:00      300.0
ETU        +16.9%   16.71      N/A       X    07:00      301.0
MPL        +16.6%    8.27    0.81M       A    07:00    5,212.0
IPST       +16.5%    6.06    6.46M       B    09:30    4,338.0
BAIG       +16.4%   13.43    0.84M       A    07:00    1,530.0
BEX        +16.2%   12.00      N/A       X    07:00    2,658.0
NPT        +15.9%    5.67    3.51M       A    09:30    4,056.0
ARBB       +15.8%    8.05    1.14M       A    07:00  163,373.0
MRAL       +15.8%    7.70    2.96M       A    07:00    3,559.0
MSOX       +15.8%    8.00      N/A       X    07:00   65,264.0
HYPD       +15.6%    3.56    2.67M       A    07:14      155.0
OESX       +15.6%   17.68    3.38M       A    07:00      188.0
COIA       +15.5%   16.81     0.3M       A    09:30      676.0
SMU        +15.5%   18.49      N/A       X    07:00   61,005.0
MPG        +15.5%    8.66    0.28M       A    09:30      501.0
WBUY       +15.2%    2.05    0.91M       A    07:00      665.0
CMND       +15.1%    3.13    0.12M       A    09:30   50,800.0
OLOX       +14.9%    3.54     5.5M       B    07:00      500.0
BULG       +14.9%    4.64      N/A       X    07:00    1,100.0
HSCS       +14.6%    2.83    3.06M       A    09:30    6,815.0
EXOD       +14.4%   15.52     4.4M       A    07:00      244.0
GRDX       +14.4%    2.93      N/A       X    09:30    3,042.0
EPSM       +14.4%    2.66    2.64M       A    07:00      364.0
BULX       +14.4%   10.05      N/A       X    09:30    2,635.0
AEI        +14.2%    3.06    3.86M       A    09:30    1,168.0
OWLT       +14.1%   14.73     9.7M       B    09:30   17,356.0
VTAK       +14.1%    2.55    1.28M       A    09:30      176.0
SEAT       +14.1%    7.46    3.61M       A    09:30    1,213.0
BULU       +14.0%    8.14      N/A       X    07:06      142.0
PMAX       +13.6%    2.67    0.38M       A    09:30    1,945.0
SBLX       +13.5%    3.70    0.63M       A    09:30      602.0
NVVE       +13.5%    4.80     0.2M       A    09:30   95,498.0
GCTK       +13.1%    5.82    0.77M       A    09:30      278.0
CYN        +13.0%    3.65    7.97M       B    09:30    4,021.0
MIGI       +12.9%    4.90    0.49M       A    07:00    9,893.0
AGH        +12.8%    4.13     4.6M       A    09:30      283.0
STEM       +12.8%   19.97    8.04M       B    07:00      100.0
SLXN       +12.8%    2.91     3.0M       A    09:30      689.0
MTVA       +12.8%    9.37    0.98M       A    09:30    4,279.0
SLON       +12.6%   16.50    1.54M       A    07:00    2,270.0
RAIN       +12.6%    6.80    2.82M       A    07:00    2,067.0
TAOX       +12.6%    6.09    6.97M       B    09:30    7,090.0
RETO       +12.5%    2.61    0.77M       A    07:00    1,317.0
CLRB       +12.5%    3.60    3.01M       A    09:30      385.0
ZSTK       +12.4%    9.60    2.32M       A    07:00      275.0
ULTI       +12.3%   17.38      N/A       X    07:00      101.0
FUTG       +12.2%   15.68    0.17M       A    09:30   10,481.0
VENU       +12.2%    9.97    6.26M       B    09:30    1,076.0
TWG        +12.0%    4.38    0.44M       A    07:00    1,527.0
BENF       +11.9%    4.50    1.18M       A    09:30   16,573.0
ALGS       +11.9%   13.43    3.61M       A    09:30    9,356.0
AGRZ       +11.9%    2.16    9.93M       B    09:30    1,244.0
SOLT       +11.8%    7.38     0.4M       A    07:00  155,272.0
DAPP       +11.8%   18.80      N/A       X    07:07      206.0
CHAI       +11.6%    2.59      N/A       A    09:30    1,521.0
BODI       +11.6%   11.53    3.16M       A    09:30   11,492.0
XRPT       +11.5%    5.92      N/A       X    07:00   76,966.0
TWAV       +11.3%    2.31    2.92M       A    09:30    1,456.0
ALOY       +11.3%    9.07    3.14M       A    07:00      100.0
UXRP       +11.2%   10.92    9.27M       B    07:00      925.0
GVH        +11.2%    3.38    1.23M       A    07:00      710.0
ACTU       +11.2%    7.63    8.42M       B    09:30    5,760.0
PONX       +11.2%   19.92      N/A       X    09:30      129.0
HWH        +11.1%    2.00    0.41M       A    07:00      518.0
FOFO       +11.0%   12.50    2.21M       A    09:30      287.0
GLSI       +11.0%   11.44    6.57M       B    07:00 1,116,432.0
LEE        +11.0%    4.05    4.05M       A    09:30    1,133.0
CNSP       +10.9%    7.86    0.52M       A    09:30      140.0
MSTW       +10.8%   12.18      N/A       X    07:00    2,547.0
AEMD       +10.8%    3.38    1.22M       A    09:30      379.0
PAPL       +10.8%    2.87     1.0M       A    07:00      109.0
ARTW       +10.8%    2.47    2.12M       A    09:30    4,263.0
AHT        +10.7%    4.25    5.99M       B    09:30    1,387.0
GLXG       +10.7%    2.39    0.55M       A    07:00      450.0
SDST       +10.6%    3.76    6.67M       B    09:30    2,146.0
ACXP       +10.6%    4.08    1.98M       A    09:30      764.0
IPWR       +10.4%    4.25    7.13M       B    09:30    1,070.0
AGPU       +10.3%    5.99    1.82M       A    09:30    1,262.0
MSOS       +10.3%    5.90      N/A       X    07:00  208,060.0
LABX       +10.1%   12.77      N/A       X    07:00    2,520.0
GNPX       +10.1%    2.84    0.67M       A    07:01      600.0
ZENA       +10.1%    3.17    8.36M       B    07:00    6,733.0
SVCO       +10.0%    4.50    9.43M       B    07:00    3,067.0
MBRX       +10.0%    4.95    2.02M       A    07:00    2,141.0
IBG         +9.9%    2.50     0.2M       A    07:07      830.0
LGCB        +9.8%    2.01     1.7M       A    09:30    8,619.0
CWII        +9.8%   14.77      N/A       X    09:30      109.0
GRRR        +9.8%   13.90      N/A       X    07:00      985.0
HIND        +9.8%    4.50     1.5M       A    09:30    4,967.0
GNLN        +9.7%    3.05     1.1M       A    07:00      750.0
CLNN        +9.6%    6.84    6.13M       B    09:30    4,012.0
OCC         +9.5%    9.20    5.73M       B    09:30    5,864.0
RAYA        +9.5%    4.49     0.6M       A    09:30      209.0
MBOT        +9.5%    2.42      N/A       X    07:00   12,087.0
MEME        +9.5%    6.57    0.07M       A    09:30    2,789.0
TAOP        +9.3%    2.00    0.97M       A    07:00      678.0
VIVS        +9.2%    2.13    2.58M       A    09:30    4,118.0
BOF         +9.2%    3.45     9.2M       B    09:30      977.0
BIRD        +9.2%    4.64    5.25M       B    09:30    5,840.0
LESL        +9.1%    2.41    9.13M       B    09:30    1,174.0
MSII        +9.0%    9.33      N/A       X    09:30    1,094.0
ALMU        +9.0%   18.07     9.9M       B    07:00      219.0
BCTX        +9.0%    9.78     1.7M       A    09:30      563.0
SBDS        +8.9%    8.69    0.43M       A    09:30      225.0
MYSE        +8.9%    2.45    3.97M       A    07:00      126.0
DRMA        +8.9%    2.70     0.5M       A    07:00      300.0
LAKE        +8.8%    8.98    8.58M       B    09:30   17,661.0
SMCX        +8.8%   15.19    6.39M       B    07:00   24,194.0
PULM        +8.7%    4.73    3.63M       A    09:30    2,974.0
WHLR        +8.7%    2.99    0.19M       A    07:00   15,168.0
LINK        +8.7%    3.75    5.64M       B    09:30      666.0
SMCL        +8.7%    5.76      N/A       X    07:00   13,043.0
PODC        +8.6%    2.39    6.28M       B    09:30      680.0
BYFC        +8.6%    6.19    5.06M       B    09:30      333.0
CRPT        +8.5%   17.10      N/A       X    09:30    3,119.0
NYC         +8.4%    8.20    0.93M       A    09:30      102.0
VVOS        +8.4%    2.19    3.19M       A    07:00    1,268.0
HBR         +8.4%   16.60      N/A       X    07:00    1,211.0
SPHL        +8.4%    3.36    0.47M       A    09:30    1,188.0
MAXI        +8.4%   15.97     3.1M       A    07:00      150.0
AXUP        +8.3%   12.96      N/A       X    09:30      200.0
