Scanner Results — 2026-02-13
================================================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol  Discovery     Method
──────── ─────── ─────── ──────── ─────── ──────── ────────── ────────── ──────────
CRE      +1030.7%    2.63    1.03M       A    09:30      187.0      09:30     rescan
FGNX      +387.7%    8.34    5.98M       B    09:30      995.0      09:30     rescan
JDZG       +43.8%    2.43    2.81M       A    07:00 8,588,420.0      04:00  premarket
ANEL       +20.9%   19.95    0.27M       A    08:00    3,726.0      08:00     rescan
GEMG       +20.6%    2.08    0.06M       A    10:30    2,630.0      10:30     rescan
SUNE       +17.8%    2.18    3.41M       A    10:00 1,009,640.0      10:00     rescan
FCUV       +17.3%    5.89    0.46M       A    07:00      246.0      04:00  premarket
CRCA       +17.2%    2.18      N/A       X    10:30 4,256,933.0      10:30     rescan
HUTG       +15.1%   10.38      N/A       X    10:30   11,785.0      10:30     rescan
MLEC       +14.7%    5.85     0.7M       A    08:00      475.0      08:00     rescan
QVCGA      +14.4%    3.74    6.67M       B    10:00   62,889.0      10:00     rescan
XXII       +14.1%    6.49    0.42M       A    08:00      411.0      08:00     rescan
IOTR       +13.6%    3.09    0.73M       A    10:00   33,311.0      10:00     rescan
RDAC       +13.2%    6.61    5.81M       B    07:00    1,458.0      06:31  premarket
ABNG       +12.6%   14.55    0.02M       A    07:12      100.0      07:12  premarket
VWAV       +12.1%    9.01    5.22M       B    07:00      679.0      04:15  premarket
UONE       +12.0%   13.38    1.81M       A    10:30   34,069.0      10:30     rescan
CLIK       +11.9%    4.01    0.28M       A    08:30      750.0      08:30     rescan
VOYX       +11.9%   13.00      N/A       X    10:30      100.0      10:30     rescan
OKLL       +11.7%   12.49    1.36M       A    10:30  549,750.0      10:30     rescan
BDSX       +11.7%   12.10     3.7M       A    10:30   37,430.0      10:30     rescan
CONX       +11.4%    7.00    0.11M       A    07:00    1,983.0      04:28  premarket
CIGL       +11.1%    2.01    1.24M       A    08:00    2,545.0      08:00     rescan
SBTU       +11.1%    4.02      N/A       X    10:30    2,643.0      10:30     rescan
MIGI       +10.7%    3.11    0.49M       A    09:00    8,380.0      09:00     rescan
NYC        +10.4%    9.72    0.93M       A    10:30      123.0      10:30     rescan
QBTX       +10.2%   16.25      N/A       X    10:30  219,555.0      10:30     rescan
FGL        +10.2%   13.30    0.15M       A    09:00    5,681.0      09:00     rescan
BUUU       +10.1%   13.88    3.14M       A    10:00    3,208.0      10:00     rescan
NCEW       +10.1%    7.65    0.93M       A    10:00      200.0      10:00     rescan
DBGI        +9.9%    3.77    6.33M       B    07:00    8,926.0      04:40  premarket
IONX        +9.8%   10.15    1.31M       A    10:30  478,763.0      10:30     rescan
LGCY        +9.7%   11.01    8.17M       B    08:00      715.0      08:00     rescan
IONL        +9.4%   15.50    0.38M       A    10:30   75,204.0      10:30     rescan
DLLL        +9.4%   19.38      N/A       X    10:00   22,575.0      10:00     rescan
GITS        +9.4%    2.22    2.46M       A    07:00    2,373.0      04:00  premarket
TWG         +9.0%    4.38    0.44M       A    08:00    1,091.0      08:00     rescan
LINK        +8.9%    3.55    5.64M       B    10:00    3,607.0      10:00     rescan
MCRB        +8.9%    8.95    6.75M       B    09:30   55,145.0      09:30     rescan
EDRY        +8.9%   14.85    1.24M       A    10:30      101.0      10:30     rescan
ATHR        +8.8%    5.05     4.0M       A    10:30      300.0      10:30     rescan
RCEL        +8.7%    4.04      N/A       X    10:00   43,309.0      10:00     rescan
AVXX        +8.7%    7.10    0.08M       A    10:30   24,340.0      10:30     rescan
UXRP        +8.7%    4.36    9.27M       B    10:30   52,268.0      10:30     rescan
SOLX        +8.6%    9.10      N/A       X    09:30      100.0      09:30     rescan
COIG        +8.6%    5.55    0.16M       A    07:00   20,200.0      04:08  premarket
GLGG        +8.6%    6.49    0.06M       A    10:00   25,935.0      10:00     rescan
APLZ        +8.6%   14.57      N/A       X    10:00  182,805.0      10:00     rescan
MNTS        +8.5%    5.88     1.3M       A    10:30   63,665.0      10:30     rescan
COIA        +8.4%    4.37     0.3M       A    07:00    3,605.0      04:05  premarket
CHNR        +8.3%    3.80    0.52M       A    09:00      117.0      09:00     rescan
FLYT        +8.2%    8.60    0.31M       A    10:30    5,669.0      10:30     rescan
RAIN        +8.0%    2.42    2.82M       A    08:30    2,640.0      08:30     rescan
HTCO        +8.0%    9.30    1.62M       A    10:00      109.0      10:00     rescan
SLON        +8.0%    5.15    1.54M       A    07:00    1,591.0      06:12  premarket
SOLT        +7.9%    2.33     0.4M       A    07:00  412,930.0      04:00  premarket
PLUL        +7.9%    9.35      N/A       X    10:30      619.0      10:30     rescan
CEGX        +7.8%   17.60      N/A       X    10:30    8,229.0      10:30     rescan
NCI         +7.8%    2.35    3.46M       A    07:00   37,697.0      04:00  premarket
IMDX        +7.7%    6.01    7.78M       B    08:00    3,395.0      08:00     rescan
LCDL        +7.7%    2.79    0.27M       A    09:30    2,382.0      09:30     rescan
IREX        +7.7%    9.83      N/A       X    08:30   52,292.0      08:30     rescan
RIOX        +7.6%    8.03    1.08M       A    10:00  140,791.0      10:00     rescan
EDHL        +7.6%    2.68    0.54M       A    08:00      318.0      08:00     rescan
QPUX        +7.6%    7.95      N/A       X    10:30   21,988.0      10:30     rescan
