Scanner Results — 2025-11-03
============================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol
──────── ─────── ─────── ──────── ─────── ──────── ──────────
NCRA       +46.2%    2.88    6.15M       B    07:00 4,484,255.0
EPSM       +30.0%   15.82    2.64M       A    07:00      247.0
PXIU       +28.3%   11.47      N/A       X    07:00      460.0
BQ         +24.6%    3.75    2.78M       A    07:00   96,369.0
MTEX       +24.6%   11.67    0.83M       A    07:00   15,294.0
BAIG       +24.4%   19.27    0.84M       A    07:00    7,609.0
NBIG       +20.9%   18.81    0.85M       A    07:00    4,740.0
SMX        +19.8%    2.12    0.03M       A    07:00 8,698,264.0
QUBX       +19.7%   14.70      N/A       X    07:00  118,676.0
MPG        +19.7%   11.69    0.28M       A    07:00    1,325.0
WLDS       +19.0%    2.69    0.84M       A    07:08    1,035.0
SLMT       +18.6%   11.66    1.51M       A    07:00    4,651.0
MPL        +18.5%   10.97    0.81M       A    07:00   10,880.0
SDST       +18.1%    4.69    6.67M       B    07:00  907,842.0
SOLT       +17.9%   15.05     0.4M       A    07:00  980,513.0
CWVX       +16.6%   19.38      N/A       X    07:00   81,322.0
CCUP       +16.6%   13.09      N/A       X    07:00   29,971.0
SMUP       +16.6%   13.52      N/A       X    07:00    9,497.0
QCLS       +16.3%    3.92    1.65M       A    07:00   17,081.0
ARCX       +16.2%   18.05      N/A       X    07:00   10,474.0
CRWG       +16.2%   12.69     5.2M       B    07:00   99,819.0
CRCG       +16.2%    7.82    4.32M       A    07:00   54,444.0
CRCA       +16.0%   12.26      N/A       X    07:00  150,141.0
LCDL       +15.8%   10.34    0.27M       A    07:00    6,314.0
SOPA       +15.7%    2.50     5.7M       B    07:00      490.0
CHNR       +15.2%    5.69    0.52M       A    07:00      621.0
AVX        +14.8%    3.14    1.98M       A    07:00    1,296.0
CDT        +14.8%    2.87    1.35M       A    07:00      200.0
ALOY       +14.6%    9.48    3.14M       A    07:08      100.0
IBG        +14.1%    3.31     0.2M       A    07:00      165.0
NVNI       +13.7%    3.98    7.03M       B    07:00      696.0
MOB        +13.1%    8.20    6.86M       B    07:00    1,013.0
UXRP       +13.1%   18.50    9.27M       B    07:00   15,568.0
DGZ        +12.8%    6.87      N/A       X    07:00      785.0
JYD        +12.8%    4.85    0.64M       A    07:00    1,758.0
BNZI       +12.6%    2.05    2.34M       A    07:00      248.0
JTAI       +12.6%    2.59    3.47M       A    07:00    6,376.0
HOUR       +12.1%    2.04    1.74M       A    07:00    1,060.0
VWAV       +12.1%   13.27    5.22M       B    07:00      490.0
XRPT       +11.9%   10.03      N/A       X    07:00  271,525.0
CYCU       +11.9%    3.39    2.21M       A    07:00    2,131.0
NCEL       +11.9%    5.75    2.06M       A    07:00   49,355.0
DJTU       +11.5%    6.51      N/A       X    07:00      849.0
MYSE       +11.1%    2.81    3.97M       A    07:00      754.0
SUGP       +11.0%    6.68    4.02M       A    07:00    3,253.0
BTM        +10.7%    2.80    4.57M       A    07:00      352.0
BMNG       +10.5%   11.56    1.98M       A    07:00    3,370.0
INFQ       +10.4%   19.18      N/A       X    07:00   14,929.0
YAAS       +10.1%    2.28    0.05M       A    07:03      225.0
BCTX       +10.1%   11.01     1.7M       A    07:00      240.0

Total candidates: 50
