Scanner Results — 2026-02-19
================================================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol  Discovery     Method
──────── ─────── ─────── ──────── ─────── ──────── ────────── ────────── ──────────
INTS     +2348.0%    6.00    2.23M       A    09:30    8,037.0      09:30     rescan
ZDAI     +1228.9%    5.89    0.54M       A    10:00    3,141.0      10:00     rescan
AURE      +919.0%    2.14    8.34M       B    09:30      174.0      09:30     rescan
RUBI       +39.7%    3.13    0.01M       A    07:00 8,486,662.0      05:32  premarket
CISS       +28.7%    2.15    0.05M       A    10:00 9,560,675.0      10:00     rescan
ENVB       +25.0%    2.80     0.5M       A    08:00   17,032.0      08:00     rescan
FIGG       +22.7%    2.13    2.26M       A    07:00  180,636.0      04:00  premarket
PFSA       +18.6%    2.10    0.83M       A    08:30   66,325.0      08:30     rescan
NSRX       +18.0%    6.30    2.93M       A    10:00      188.0      10:00     rescan
JYD        +16.4%    2.88    0.64M       A    08:00      132.0      08:00     rescan
NAMM       +15.5%    3.05    6.81M       B    10:30  563,997.0      10:30     rescan
SONM       +14.1%    5.65    0.82M       A    09:30    2,334.0      09:30     rescan
RIME       +12.9%    3.07    2.53M       A    10:00 2,236,956.0      10:00     rescan
AHMA       +12.7%    8.06    2.02M       A    10:00   16,336.0      10:00     rescan
NA         +12.5%    3.42    9.47M       B    07:00      254.0      04:36  premarket
GITS       +12.2%    2.29    2.46M       A    10:00    7,257.0      10:00     rescan
ATGL       +11.9%   18.33    2.67M       A    10:00    2,083.0      10:00     rescan
PLAG       +10.9%    3.25    5.19M       B    10:00      205.0      10:00     rescan
EMAT       +10.4%   14.49     0.3M       A    07:00    6,255.0      04:00  premarket
ABTS       +10.4%    2.45     1.7M       A    09:30      207.0      09:30     rescan
EDRY        +9.8%   17.84    1.24M       A    10:00    5,770.0      10:00     rescan
WTO         +9.5%    2.89    0.58M       A    08:30    1,788.0      08:30     rescan
MLEC        +9.0%   15.65     0.7M       A    08:30   28,137.0      08:30     rescan
SDOT        +8.8%    2.70    0.85M       A    10:30      200.0      10:30     rescan
SSTI        +8.6%    7.58    7.72M       B    08:00    1,028.0      08:00     rescan
OKLS        +8.6%   15.62      N/A       X    09:30   48,117.0      09:30     rescan
PLYX        +8.3%    3.13    1.34M       A    08:00   48,061.0      08:00     rescan
