Scanner Results — 2026-01-29
================================================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol  Discovery     Method
──────── ─────── ─────── ──────── ─────── ──────── ────────── ────────── ──────────
BJDX      +321.4%    3.42    0.39M       A    09:00      332.0      09:00     rescan
FEED       +69.6%    3.90    0.85M       A    10:00 40,631,634.0      10:00     rescan
SER        +61.8%    4.40    3.58M       A    07:00 26,039,627.0      04:00  premarket
ZSTK       +30.6%   11.69    2.32M       A    07:00  409,368.0      04:07  premarket
VENU       +23.9%    6.37    6.26M       B    07:00  158,808.0      04:06  premarket
ELWT       +23.8%    6.50    3.92M       A    08:00    4,130.0      08:00     rescan
FLWS       +16.3%    4.70    8.83M       B    08:00   47,250.0      08:00     rescan
GDXD       +15.9%    4.10     5.6M       B    10:30 5,789,596.0      10:30     rescan
AIFU       +15.6%    2.42    0.54M       A    08:00    2,180.0      08:00     rescan
MBAI       +13.9%    2.37    4.68M       A    07:00   86,457.0      04:00  premarket
ENVB       +13.8%    3.97     0.5M       A    08:00   15,435.0      08:00     rescan
TCGL       +12.4%    9.81    3.39M       A    10:00 2,165,174.0      10:00     rescan
HTLM       +12.1%    2.69      N/A       X    10:00    1,333.0      10:00     rescan
CJMB       +11.9%    2.07    1.39M       A    10:00   39,679.0      10:00     rescan
HIMZ       +11.5%    4.84     6.0M       B    10:00 2,194,659.0      10:00     rescan
SOPA       +11.4%    2.25     5.7M       B    10:00  139,678.0      10:00     rescan
KRRO       +11.2%   13.00    6.01M       B    07:00    2,986.0      04:00  premarket
IREZ       +11.1%   17.80    0.15M       A    10:00  320,012.0      10:00     rescan
SEGG       +11.1%    2.12    3.54M       A    10:00 1,243,567.0      10:00     rescan
SPHL       +11.1%    5.30    0.47M       A    08:00   12,087.0      08:00     rescan
BUUU       +11.1%    9.55    3.14M       A    10:30    2,400.0      10:30     rescan
PHGE       +10.7%    7.29    1.24M       A    10:00  560,259.0      10:00     rescan
MAMO       +10.6%    3.66    4.94M       A    08:30      116.0      08:30     rescan
SILC       +10.3%   16.61    5.41M       B    08:30    2,544.0      08:30     rescan
QBTZ       +10.3%   10.05    0.53M       A    10:00  748,490.0      10:00     rescan
NIOG       +10.2%   14.30      N/A       X    10:00    9,842.0      10:00     rescan
ROLR       +10.0%    8.80     3.6M       A    07:00   35,833.0      04:00  premarket
SAGT        +9.9%    2.10      N/A       X    10:30   66,297.0      10:30     rescan
TOYO        +9.9%    7.61    9.07M       B    10:00   48,258.0      10:00     rescan
AUST        +9.7%    2.82    7.77M       B    07:00  234,968.0      04:00  premarket
NAMM        +9.4%    7.00    6.81M       B    07:00 1,627,171.0      04:00  premarket
IONZ        +9.2%   19.92     6.6M       B    10:00  604,996.0      10:00     rescan
ASTI        +9.2%    6.20    2.96M       A    08:00    2,976.0      08:00     rescan
FIEE        +9.1%    7.92    0.39M       A    08:30    5,110.0      08:30     rescan
NCEL        +9.1%    2.88    2.06M       A    08:00   10,445.0      08:00     rescan
BATL        +8.4%    4.51    7.23M       B    08:30  278,430.0      08:30     rescan
AGH         +8.1%    3.46     4.6M       A    10:00    4,840.0      10:00     rescan
AGCC        +8.0%   10.80    4.83M       A    10:30   39,913.0      10:30     rescan
ANGH        +8.0%    2.98    1.71M       A    07:00    2,929.0      06:26  premarket
AGIG        +8.0%    3.80    8.66M       B    09:30   41,870.0      09:30     rescan
ONEG        +7.6%    5.21     7.0M       B    10:00   19,880.0      10:00     rescan
AEI         +7.3%    3.80    3.86M       A    07:00      500.0      07:00  premarket
ACXP        +7.3%    2.78    1.98M       A    09:30      676.0      09:30     rescan
DCX         +7.2%    3.28      N/A       A    07:00    2,181.0      07:00  premarket
GRRR        +7.1%   15.58      N/A       X    10:00  568,057.0      10:00     rescan
WTIU        +7.1%   12.86      N/A       X    08:00    1,160.0      08:00     rescan
MSFD        +6.9%   12.36      N/A       X    07:00    7,116.0      04:11  premarket
BRR         +6.6%    3.22      N/A       X    08:30      919.0      08:30     rescan
