Scanner Results — 2026-02-09
================================================================================
Symbol      Gap%   Price    Float Profile SimStart     PM Vol  Discovery     Method
──────── ─────── ─────── ──────── ─────── ──────── ────────── ────────── ──────────
DBGI        +6.7%    7.00    6.33M       B    07:00    4,458.0      05:15  premarket
VOYX        +6.7%   13.99      N/A       X    10:30    1,320.0      10:30     rescan
EIKN        +6.7%   15.47     1.5M       A    07:00      400.0      04:54  premarket
HDLB        +6.7%   18.71      N/A       X    09:30      133.0      09:30     rescan
NVDG        +6.7%   17.28      N/A       X    10:00  138,097.0      10:00     rescan
HODU        +6.7%   11.92    0.12M       A    07:00    3,201.0      04:03  premarket
CYCU        +6.6%    2.10    2.21M       A    07:00      172.0      05:46  premarket
MSLE        +6.6%   11.99    1.06M       A    08:00      617.0      08:00     rescan
ATHR        +6.5%    5.69     4.0M       A    08:30      100.0      08:30     rescan
ASTI        +6.5%    6.69    2.96M       A    10:00  225,406.0      10:00     rescan
SPHL        +6.5%    5.22    0.47M       A    10:30    9,727.0      10:30     rescan
DOGD        +6.5%   16.65      N/A       X    08:30      822.0      08:30     rescan
IOTR        +6.4%    3.24    0.73M       A    08:00    2,106.0      08:00     rescan
OKLS        +6.4%   14.48      N/A       X    09:30   50,698.0      09:30     rescan
SXTC        +6.3%    3.19    0.85M       A    07:00    8,338.0      04:13  premarket
NTHI        +6.3%   10.39    4.05M       A    10:30   11,092.0      10:30     rescan
GEMG        +6.3%    2.45    0.06M       A    10:30      462.0      10:30     rescan
ONDU        +6.3%   12.20    0.24M       A    08:00    7,980.0      08:00     rescan
XCUR        +6.2%    4.28    3.38M       A    08:00    1,377.0      08:00     rescan
HOOX        +6.2%   10.82    1.93M       A    07:00   56,506.0      04:01  premarket
MCRP        +6.1%    2.94    8.79M       B    07:00      508.0      07:00  premarket
NVDX        +6.1%   17.47      N/A       X    10:00 5,116,302.0      10:00     rescan
PHOE        +6.1%   14.55     5.5M       B    08:00    2,076.0      08:00     rescan
QBTZ        +6.1%   10.75    0.53M       A    09:30  138,393.0      09:30     rescan
EBON        +6.1%    2.69    6.54M       B    10:30      602.0      10:30     rescan
COZX        +6.1%   12.74      N/A       X    10:00    5,547.0      10:00     rescan
EMAT        +6.0%    6.50     0.3M       A    09:30    3,161.0      09:30     rescan
CCUP        +6.0%    2.19      N/A       X    10:30  383,432.0      10:30     rescan
ACFN        +6.0%   17.41    1.68M       A    10:00    1,800.0      10:00     rescan
PODC        +6.0%    3.00    6.28M       B    08:00    8,987.0      08:00     rescan
RVSN        +6.0%    6.18    1.77M       A    08:00    1,421.0      08:00     rescan
GLOO        +5.9%    5.40    5.76M       B    10:30      822.0      10:30     rescan
LSF         +5.8%    2.81    7.63M       B    10:00   11,375.0      10:00     rescan
NERV        +5.8%    5.08    6.32M       B    10:30   16,964.0      10:30     rescan
LUNL        +5.8%   14.40    0.17M       A    08:00    1,826.0      08:00     rescan
RBLU        +5.8%   18.96      N/A       X    08:30    2,350.0      08:30     rescan
LMBO        +5.8%   18.72      N/A       X    10:00    9,021.0      10:00     rescan
PLUR        +5.8%    3.67    4.53M       A    10:00    2,333.0      10:00     rescan
NUWE        +5.8%    2.76    0.88M       A    07:00      305.0      04:00  premarket
JXG         +5.7%    4.24    0.18M       A    10:30      400.0      10:30     rescan
UUU         +5.7%    4.65    1.57M       A    07:00      435.0      04:00  premarket
MAXN        +5.7%    4.11    6.81M       B    09:30   38,408.0      09:30     rescan
IREG        +5.6%   17.71    0.57M       A    10:00   16,015.0      10:00     rescan
XOS         +5.6%    2.40    7.43M       B    10:00    4,666.0      10:00     rescan
EDBL        +5.6%    3.80    0.41M       A    07:00      723.0      05:51  premarket
ZENA        +5.5%    3.09    8.36M       B    08:00   11,835.0      08:00     rescan
INBS        +5.5%    6.57    0.64M       A    08:00      150.0      08:00     rescan
HYSA        +5.4%   15.97    2.09M       A    07:00      150.0      04:00  premarket
PXS         +5.4%    3.33    4.27M       A    10:30    2,857.0      10:30     rescan
CRCA        +5.4%    2.00      N/A       X    10:30 3,324,653.0      10:30     rescan
LMRI        +5.4%   11.38      N/A       X    08:30      200.0      08:30     rescan
BNRG        +5.4%    2.75    0.38M       A    10:00   22,345.0      10:00     rescan
RMCO        +5.3%    4.38    6.57M       B    10:30      490.0      10:30     rescan
TWG         +5.2%    3.81    0.44M       A    09:30    5,815.0      09:30     rescan
WVVI        +5.2%    2.74    4.09M       A    10:00      772.0      10:00     rescan
BENF        +5.2%    4.64    1.18M       A    10:30    1,843.0      10:30     rescan
MUD         +5.2%    4.21      N/A       X    09:30  285,699.0      09:30     rescan
PULM        +5.1%    2.61    3.63M       A    08:30    1,045.0      08:30     rescan
ACET        +5.1%    7.39    6.83M       B    09:30   10,532.0      09:30     rescan
CVV         +5.1%    4.32    5.29M       B    08:30      150.0      08:30     rescan
AMDL        +5.1%   14.21      N/A       X    10:00 4,453,782.0      10:00     rescan
TPCS        +5.1%    4.68    8.88M       B    10:30      500.0      10:30     rescan
VSTL        +5.1%   10.59      N/A       X    10:30   19,659.0      10:30     rescan
PLU         +5.0%   19.85      N/A       X    08:00    3,141.0      08:00     rescan
APLZ        +5.0%   15.71      N/A       X    07:00    5,235.0      05:01  premarket

Total candidates: 144
  Premarket (7:15 AM): 21
  Continuous rescan:   123
