market,volregime,sharpe,n_days,pnl
bear,highvol,11.13662415714026,21,42029.848600000085
bear,medvol,13.69882249358989,60,134350.96459999957
bull,highvol,-2.370923495355965,2,-1046.301800000976
bull,lowvol,12.313739795878012,141,302250.69650000345
bull,medvol,10.766832989267133,202,382749.9636000019
chop,highvol,4.2026353374185375,223,153224.19240001022
chop,lowvol,16.32777072621129,179,450602.3453999968
chop,medvol,9.864684597575222,440,714305.1409000029
