param,delta_pct,value,sharpe,n_trades,pnl
vwap_band_sigma,-0.2,1.6,-3.4728267748188326,8494,-598175.5527137136
vwap_band_sigma,-0.1,1.8,-2.8130916549139307,8369,-502092.526870044
vwap_band_sigma,0.0,2.0,-1.2698540434167287,8202,-260833.50261795335
vwap_band_sigma,0.1,2.2,-1.447161880878776,8032,-316431.16268152033
vwap_band_sigma,0.2,2.4,-0.8875704733663207,7683,-203941.92346619107
vwap_proximity_pct,-0.2,0.0024000000000000002,-1.2698540434167287,8202,-260833.50261795335
vwap_proximity_pct,-0.1,0.0027,-1.2698540434167287,8202,-260833.50261795335
vwap_proximity_pct,0.0,0.003,-1.2698540434167287,8202,-260833.50261795335
vwap_proximity_pct,0.1,0.0033000000000000004,-1.2698540434167287,8202,-260833.50261795335
vwap_proximity_pct,0.2,0.0036,-1.2698540434167287,8202,-260833.50261795335
vwap_lookback_bars,-0.2,2.0,-1.2698540434167287,8202,-260833.50261795335
vwap_lookback_bars,-0.1,2.0,-1.2698540434167287,8202,-260833.50261795335
vwap_lookback_bars,0.0,2.0,-1.2698540434167287,8202,-260833.50261795335
vwap_lookback_bars,0.1,2.0,-1.2698540434167287,8202,-260833.50261795335
vwap_lookback_bars,0.2,2.0,-1.2698540434167287,8202,-260833.50261795335
vwap_stop_pad,-0.2,0.08000000000000002,-1.3389809599330096,8202,-294339.1195763594
vwap_stop_pad,-0.1,0.09000000000000001,-1.1706112435771097,8202,-252434.61449331112
vwap_stop_pad,0.0,0.1,-1.2698540434167287,8202,-260833.50261795335
vwap_stop_pad,0.1,0.11000000000000001,-1.0508619708021552,8202,-216216.67591590778
vwap_stop_pad,0.2,0.12,-0.9927948455538897,8202,-199893.90615883216
vwap_r_multiple,-0.2,1.2000000000000002,-1.2698540434167287,8202,-260833.50261795335
vwap_r_multiple,-0.1,1.35,-1.2698540434167287,8202,-260833.50261795335
vwap_r_multiple,0.0,1.5,-1.2698540434167287,8202,-260833.50261795335
vwap_r_multiple,0.1,1.6500000000000001,-1.2698540434167287,8202,-260833.50261795335
vwap_r_multiple,0.2,1.7999999999999998,-1.2698540434167287,8202,-260833.50261795335
