market,volregime,sharpe,n_days,pnl
bear,highvol,-1.794252039183565,16,-4622.495499999639
bear,medvol,5.277119402404345,46,91722.48920000109
bull,highvol,0.0,1,-999.6991999999748
bull,lowvol,5.571732694880816,76,206601.7760000017
bull,medvol,3.4858220427261695,121,129833.49930000187
chop,highvol,1.261965500707753,184,65159.31490000306
chop,lowvol,3.2683026242272057,84,76971.79940000125
chop,medvol,3.453088339637703,280,315118.1198000059
