quarter,pnl,pct_of_total
2021Q3,867825.4885999983,0.09406132776086465
2020Q2,834538.191099998,0.09045340492205516
2020Q3,683975.7787999972,0.07413434008948895
2020Q1,651386.640500002,0.07060208889457976
2021Q4,616366.9672999989,0.06680639839895047
2023Q3,591194.4739000008,0.06407801788540372
2023Q4,504581.62870000023,0.05469027884376629
2022Q3,484647.25400000124,0.05252964427265063
2023Q1,473885.01200000045,0.05136315309959589
2024Q2,417190.2843000007,0.045218160316420494
2022Q4,409314.7705000009,0.04436455403893948
2023Q2,356004.0390000004,0.038586343725155646
2022Q2,353139.3917000018,0.03827585212039864
2024Q3,337699.9598000019,0.03660241260581345
2022Q1,323287.3818000019,0.035040271091251546
2021Q2,322649.78760000155,0.03497116392879494
2024Q4,304149.6605000023,0.0329659836919504
2020Q4,292724.2636999988,0.03172761491006916
2024Q1,269616.4649999997,0.02922302123783313
2021Q1,131989.24689999587,0.014305968166017547
