market,volregime,sharpe,n_days,pnl
bear,highvol,-0.6360297907017832,22,-3475.7283719703746
bear,medvol,0.0414813158753264,60,432.9972413030814
bull,highvol,-36.788821080626974,2,-2850.957326697984
bull,lowvol,-2.2268446569133182,142,-48858.801632721035
bull,medvol,-2.033895003049256,205,-78275.3423629184
chop,highvol,0.33255617285596306,233,17979.859051961248
chop,lowvol,-2.133528727448728,182,-50546.65632630486
chop,medvol,-2.243135329902096,450,-167871.74908425458
