market,volregime,sharpe,n_days,pnl
bear,highvol,6.668519180757951,22,113137.91040000058
bear,medvol,10.395888871185488,60,328562.9536000017
bull,highvol,22.66497483076988,2,11301.081900000114
bull,lowvol,12.847851199042564,142,1390290.4703999995
bull,medvol,9.380058078826654,205,1076428.9543000013
chop,highvol,7.4717795646984,233,1108209.1540999971
chop,lowvol,15.889342385117214,182,1745549.2717
chop,medvol,11.617691902165554,449,3452686.8893000027
