param,delta_pct,value,sharpe,n_trades,pnl
fade_proximity_pct,-0.2,0.0008,11.134459049402434,7839,7758497.520200003
fade_proximity_pct,-0.1,0.0009000000000000001,11.11392729901899,7839,7750906.463500002
fade_proximity_pct,0.0,0.001,11.091032962613815,7839,7740241.854100002
fade_proximity_pct,0.1,0.0011,11.075232551986259,7842,7729143.397900003
fade_proximity_pct,0.2,0.0012,11.077265335190747,7842,7730347.353100003
fade_lookback,-0.2,2.0,11.091032962613815,7839,7740241.854100002
fade_lookback,-0.1,2.0,11.091032962613815,7839,7740241.854100002
fade_lookback,0.0,2.0,11.091032962613815,7839,7740241.854100002
fade_lookback,0.1,2.0,11.091032962613815,7839,7740241.854100002
fade_lookback,0.2,2.0,11.091032962613815,7839,7740241.854100002
fade_stop_pad,-0.2,0.08000000000000002,10.986804704043271,7839,8113887.536200029
fade_stop_pad,-0.1,0.09000000000000001,11.104537591429557,7839,8021911.859599987
fade_stop_pad,0.0,0.1,11.091032962613815,7839,7740241.854100002
fade_stop_pad,0.1,0.11000000000000001,11.15644233065848,7839,7508663.455099985
fade_stop_pad,0.2,0.12,11.216498648166475,7839,7318404.027699983
fade_r_multiple,-0.2,1.2000000000000002,11.091032962613815,7839,7740241.854100002
fade_r_multiple,-0.1,1.35,11.091032962613815,7839,7740241.854100002
fade_r_multiple,0.0,1.5,11.091032962613815,7839,7740241.854100002
fade_r_multiple,0.1,1.6500000000000001,11.091032962613815,7839,7740241.854100002
fade_r_multiple,0.2,1.7999999999999998,11.091032962613815,7839,7740241.854100002
