
[2026-01-06] Fetching 1 symbols (0 already cached)...
  CYCN...     10,155 ticks, up to 04:09:05 ET...
    94,516 ticks, up to 07:02:53 ET...
    104,923 ticks, up to 07:09:44 ET...
    115,027 ticks, up to 07:23:01 ET...
    125,957 ticks, up to 08:00:00 ET...
    137,004 ticks, up to 08:00:11 ET...
    148,959 ticks, up to 08:13:23 ET...
    159,031 ticks, up to 08:57:03 ET...
    169,198 ticks, up to 09:32:59 ET...
    180,337 ticks, up to 09:35:15 ET...
    191,192 ticks, up to 09:36:48 ET...
    202,437 ticks, up to 09:38:15 ET...
    213,269 ticks, up to 09:40:32 ET...
    223,967 ticks, up to 09:42:40 ET...
    234,387 ticks, up to 09:44:34 ET...
    245,063 ticks, up to 09:46:15 ET...
    256,003 ticks, up to 09:47:32 ET...
    268,025 ticks, up to 09:48:51 ET...
    279,263 ticks, up to 09:50:04 ET...
    290,564 ticks, up to 09:51:24 ET...
    302,332 ticks, up to 09:52:21 ET...
    314,028 ticks, up to 09:53:04 ET...
    325,039 ticks, up to 09:54:29 ET...
    336,011 ticks, up to 09:55:43 ET...
    346,578 ticks, up to 09:57:38 ET...
    358,012 ticks, up to 09:59:10 ET...
    368,508 ticks, up to 10:01:50 ET...
    379,407 ticks, up to 10:03:11 ET...
    390,005 ticks, up to 10:05:40 ET...
    400,386 ticks, up to 10:09:15 ET...
    411,093 ticks, up to 10:13:50 ET...
    421,859 ticks, up to 10:18:30 ET...
    432,084 ticks, up to 10:21:49 ET...
    442,484 ticks, up to 10:27:50 ET...
    453,478 ticks, up to 10:30:46 ET...
    463,713 ticks, up to 10:40:20 ET...
    474,077 ticks, up to 10:46:35 ET...
    484,248 ticks, up to 10:59:04 ET...
    494,620 ticks, up to 11:16:52 ET...
    504,908 ticks, up to 11:21:12 ET...
    515,190 ticks, up to 11:32:21 ET...
    525,351 ticks, up to 11:43:10 ET...
    537,216 ticks, up to 11:50:52 ET...
    548,115 ticks, up to 11:51:56 ET...
    558,314 ticks, up to 11:56:28 ET...
    568,805 ticks, up to 12:00:59 ET...
    579,489 ticks, up to 12:03:30 ET...
    590,755 ticks, up to 12:05:03 ET...
    601,741 ticks, up to 12:06:24 ET...
    612,495 ticks, up to 12:08:09 ET...
    622,807 ticks, up to 12:13:35 ET...
    633,229 ticks, up to 12:21:06 ET...
    643,884 ticks, up to 12:31:03 ET...
    653,956 ticks, up to 12:45:20 ET...
    664,178 ticks, up to 13:06:41 ET...
    674,298 ticks, up to 13:25:05 ET...
    685,019 ticks, up to 13:37:18 ET...
    695,276 ticks, up to 13:51:08 ET...
    706,119 ticks, up to 14:24:21 ET...
    716,487 ticks, up to 14:57:57 ET...
    726,561 ticks, up to 15:31:56 ET...
    736,649 ticks, up to 16:06:08 ET...
  Saved 739765 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-12/BDSX.json.gz

[2026-01-13] Fetching 3 symbols (0 already cached)...
  AHMA...     10,290 ticks, up to 07:25:56 ET...
    20,773 ticks, up to 07:28:36 ET...
    31,701 ticks, up to 07:29:55 ET...
    42,968 ticks, up to 07:32:12 ET...
    53,521 ticks, up to 07:35:20 ET...
    64,301 ticks, up to 07:37:30 ET...
    74,724 ticks, up to 07:38:46 ET...
    86,294 ticks, up to 07:39:43 ET...
    96,799 ticks, up to 07:41:30 ET...
    107,892 ticks, up to 07:42:19 ET...
    118,574 ticks, up to 07:44:05 ET...
    129,073 ticks, up to 07:47:32 ET...
    140,001 ticks, up to 07:50:13 ET...
    150,827 ticks, up to 07:51:22 ET...
    161,734 ticks, up to 07:53:22 ET...
    172,397 ticks, up to 07:56:03 ET...
    183,046 ticks, up to 07:59:47 ET...
    194,739 ticks, up to 08:00:10 ET...
    207,011 ticks, up to 08:03:03 ET...
    217,585 ticks, up to 08:05:08 ET...
    228,409 ticks, up to 08:08:09 ET...
    238,751 ticks, up to 08:13:38 ET...
    249,529 ticks, up to 08:19:23 ET...
    260,437 ticks, up to 08:21:53 ET...
    272,748 ticks, up to 08:22:19 ET...
    285,273 ticks, up to 08:22:46 ET...
    296,418 ticks, up to 08:23:38 ET...
    306,883 ticks, up to 08:25:17 ET...
    317,614 ticks, up to 08:27:16 ET...
    328,587 ticks, up to 08:29:03 ET...
    339,204 ticks, up to 08:32:19 ET...
    349,759 ticks, up to 08:35:58 ET...
    360,922 ticks, up to 08:38:05 ET...
    371,471 ticks, up to 08:40:26 ET...
    382,235 ticks, up to 08:42:53 ET...
    392,671 ticks, up to 08:48:05 ET...
    403,252 ticks, up to 08:51:43 ET...
    414,262 ticks, up to 08:53:20 ET...
    426,319 ticks, up to 08:54:55 ET...
    437,713 ticks, up to 08:55:41 ET...
    449,586 ticks, up to 08:56:33 ET...
    459,903 ticks, up to 08:59:20 ET...
    470,340 ticks, up to 09:03:41 ET...
    480,634 ticks, up to 09:06:53 ET...
    490,741 ticks, up to 09:14:18 ET...
    500,975 ticks, up to 09:24:35 ET...
    511,307 ticks, up to 09:31:30 ET...
    522,545 ticks, up to 09:40:06 ET...
    533,746 ticks, up to 09:51:38 ET...
    543,907 ticks, up to 09:55:51 ET...
    554,406 ticks, up to 10:01:18 ET...
    564,730 ticks, up to 10:08:26 ET...
    575,036 ticks, up to 10:18:01 ET...
    585,569 ticks, up to 10:21:25 ET...
    595,749 ticks, up to 10:31:02 ET...
    606,107 ticks, up to 10:44:00 ET...
    616,349 ticks, up to 11:04:51 ET...
    626,485 ticks, up to 11:29:39 ET...
    636,709 ticks, up to 11:49:16 ET...
    647,066 ticks, up to 11:55:02 ET...
    657,344 ticks, up to 12:02:56 ET...
    667,395 ticks, up to 12:33:10 ET...
    677,504 ticks, up to 13:11:21 ET...
    688,064 ticks, up to 13:55:00 ET...
    698,133 ticks, up to 14:10:09 ET...
    708,540 ticks, up to 14:33:57 ET...
    719,114 ticks, up to 14:55:59 ET...
    730,019 ticks, up to 15:05:03 ET...
    740,136 ticks, up to 15:46:13 ET...
    750,272 ticks, up to 16:33:25 ET...
  Saved 755349 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-13/AHMA.json.gz
  IOTR...     10,303 ticks, up to 05:07:26 ET...
    20,656 ticks, up to 05:10:12 ET...
    31,497 ticks, up to 05:11:35 ET...
    42,298 ticks, up to 05:13:02 ET...
    52,933 ticks, up to 05:14:35 ET...
    63,445 ticks, up to 05:16:06 ET...
    74,179 ticks, up to 05:17:59 ET...
    84,656 ticks, up to 05:21:24 ET...
    95,663 ticks, up to 05:22:31 ET...
    106,157 ticks, up to 05:25:06 ET...
    116,679 ticks, up to 05:29:04 ET...
    127,011 ticks, up to 05:32:21 ET...
    137,388 ticks, up to 05:35:54 ET...
    147,812 ticks, up to 05:42:52 ET...
    157,986 ticks, up to 05:54:57 ET...
    168,086 ticks, up to 06:04:26 ET...
    178,422 ticks, up to 06:15:26 ET...
    188,516 ticks, up to 06:43:03 ET...
    198,792 ticks, up to 06:50:32 ET...
    208,937 ticks, up to 06:59:53 ET...
    219,321 ticks, up to 07:02:18 ET...
    229,473 ticks, up to 07:16:17 ET...
    240,154 ticks, up to 08:00:00 ET...
    252,053 ticks, up to 08:00:09 ET...
    265,913 ticks, up to 08:04:10 ET...
    277,791 ticks, up to 08:10:22 ET...
    291,143 ticks, up to 08:12:13 ET...
    303,411 ticks, up to 08:17:52 ET...
    313,446 ticks, up to 09:51:11 ET...
    323,778 ticks, up to 11:19:21 ET...
    333,908 ticks, up to 15:32:14 ET...
    344,010 ticks, up to 16:02:12 ET...
  Saved 350898 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-13/IOTR.json.gz
  BCTX...     10,385 ticks, up to 07:45:28 ET...
    20,580 ticks, up to 07:56:24 ET...
    33,085 ticks, up to 08:00:11 ET...
    44,073 ticks, up to 08:07:24 ET...
    54,792 ticks, up to 08:09:13 ET...
    65,272 ticks, up to 08:12:13 ET...
    76,129 ticks, up to 08:17:54 ET...
    86,245 ticks, up to 08:26:13 ET...
    96,521 ticks, up to 08:40:40 ET...
    106,567 ticks, up to 09:22:39 ET...
    116,888 ticks, up to 09:45:50 ET...
    127,114 ticks, up to 10:36:37 ET...
    137,294 ticks, up to 13:34:12 ET...
  Saved 146099 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-13/BCTX.json.gz

[2026-01-14] Fetching 4 symbols (0 already cached)...
  ROLR...     11,205 ticks, up to 08:19:30 ET...
    22,477 ticks, up to 08:20:04 ET...
    33,316 ticks, up to 08:20:56 ET...
    44,642 ticks, up to 08:21:41 ET...
    56,098 ticks, up to 08:22:27 ET...
    67,591 ticks, up to 08:23:04 ET...
    79,912 ticks, up to 08:23:52 ET...
    94,537 ticks, up to 08:24:04 ET...
    108,032 ticks, up to 08:24:20 ET...
    119,325 ticks, up to 08:24:35 ET...
    130,985 ticks, up to 08:25:14 ET...
    141,843 ticks, up to 08:26:10 ET...
    153,824 ticks, up to 08:26:58 ET...
    165,518 ticks, up to 08:27:48 ET...
    178,334 ticks, up to 08:28:14 ET...
    191,041 ticks, up to 08:28:45 ET...
    205,547 ticks, up to 08:28:55 ET...
    219,362 ticks, up to 08:29:07 ET...
    231,601 ticks, up to 08:29:30 ET...
    245,509 ticks, up to 08:29:41 ET...
    257,593 ticks, up to 08:30:05 ET...
    268,792 ticks, up to 08:30:40 ET...
    281,143 ticks, up to 08:31:02 ET...
    292,420 ticks, up to 08:31:24 ET...
    303,570 ticks, up to 08:32:08 ET...
    315,217 ticks, up to 08:33:02 ET...
    328,804 ticks, up to 08:33:16 ET...
    340,491 ticks, up to 08:33:42 ET...
    352,729 ticks, up to 08:33:58 ET...
    366,610 ticks, up to 08:34:10 ET...
    378,465 ticks, up to 08:34:32 ET...
    389,257 ticks, up to 08:35:07 ET...
    401,195 ticks, up to 08:35:41 ET...
    412,522 ticks, up to 08:36:25 ET...
    424,714 ticks, up to 08:37:12 ET...
    436,386 ticks, up to 08:37:46 ET...
    447,651 ticks, up to 08:38:57 ET...
    459,426 ticks, up to 08:39:19 ET...
    471,414 ticks, up to 08:39:54 ET...
    482,166 ticks, up to 08:40:42 ET...
    493,860 ticks, up to 08:41:22 ET...
    504,820 ticks, up to 08:42:48 ET...
    516,572 ticks, up to 08:44:06 ET...
    527,695 ticks, up to 08:45:30 ET...
    538,207 ticks, up to 08:47:45 ET...
    548,861 ticks, up to 08:49:35 ET...
    560,938 ticks, up to 08:50:48 ET...
    572,033 ticks, up to 08:51:22 ET...
    582,869 ticks, up to 08:53:36 ET...
    594,192 ticks, up to 08:54:28 ET...
    605,256 ticks, up to 08:55:11 ET...
    616,453 ticks, up to 08:56:07 ET...
    627,027 ticks, up to 08:57:46 ET...
    638,214 ticks, up to 08:59:12 ET...
    649,035 ticks, up to 09:00:56 ET...
    659,765 ticks, up to 09:03:21 ET...
    670,472 ticks, up to 09:06:02 ET...
    681,619 ticks, up to 09:08:48 ET...
    692,126 ticks, up to 09:11:54 ET...
    702,484 ticks, up to 09:15:16 ET...
    712,956 ticks, up to 09:19:14 ET...
    723,522 ticks, up to 09:23:34 ET...
    733,970 ticks, up to 09:26:58 ET...
    744,814 ticks, up to 09:30:21 ET...
    756,254 ticks, up to 09:30:53 ET...
    767,462 ticks, up to 09:32:04 ET...
    779,382 ticks, up to 09:33:14 ET...
    790,989 ticks, up to 09:39:10 ET...
    802,668 ticks, up to 09:45:18 ET...
    814,648 ticks, up to 09:51:23 ET...
    825,373 ticks, up to 09:52:53 ET...
    836,249 ticks, up to 09:56:03 ET...
    847,212 ticks, up to 09:58:28 ET...
    858,067 ticks, up to 10:01:05 ET...
    868,846 ticks, up to 10:04:30 ET...
    879,871 ticks, up to 10:11:22 ET...
    890,222 ticks, up to 10:18:52 ET...
    900,775 ticks, up to 10:24:25 ET...
    911,112 ticks, up to 10:30:04 ET...
    922,437 ticks, up to 10:34:52 ET...
    934,455 ticks, up to 10:40:49 ET...
    945,279 ticks, up to 10:42:28 ET...
    955,603 ticks, up to 10:46:28 ET...
    966,315 ticks, up to 10:49:30 ET...
    976,830 ticks, up to 10:55:14 ET...
    987,799 ticks, up to 10:59:41 ET...
    998,028 ticks, up to 11:07:02 ET...
    1,008,849 ticks, up to 11:13:52 ET...
    1,019,307 ticks, up to 11:17:11 ET...
    1,029,836 ticks, up to 11:23:36 ET...
    1,040,194 ticks, up to 11:27:39 ET...
    1,052,419 ticks, up to 11:28:41 ET...
    1,065,227 ticks, up to 11:39:16 ET...
    1,076,253 ticks, up to 11:40:15 ET...
    1,087,681 ticks, up to 11:41:44 ET...
    1,098,130 ticks, up to 11:44:55 ET...
    1,108,939 ticks, up to 11:49:03 ET...
    1,119,827 ticks, up to 11:52:25 ET...
    1,130,566 ticks, up to 11:58:17 ET...
    1,140,894 ticks, up to 12:05:13 ET...
    1,152,977 ticks, up to 12:29:18 ET...
    1,164,504 ticks, up to 12:30:08 ET...
    1,174,923 ticks, up to 12:32:15 ET...
    1,185,866 ticks, up to 12:35:16 ET...
    1,196,650 ticks, up to 12:37:21 ET...
    1,208,199 ticks, up to 12:43:31 ET...
    1,218,754 ticks, up to 12:46:00 ET...
    1,229,150 ticks, up to 12:49:37 ET...
    1,239,619 ticks, up to 12:53:11 ET...
    1,250,065 ticks, up to 12:58:03 ET...
    1,261,059 ticks, up to 13:02:54 ET...
    1,271,204 ticks, up to 13:09:50 ET...
    1,282,294 ticks, up to 13:14:19 ET...
    1,293,433 ticks, up to 13:20:03 ET...
    1,304,624 ticks, up to 13:21:56 ET...
    1,315,725 ticks, up to 13:29:45 ET...
    1,326,129 ticks, up to 13:31:13 ET...
    1,337,108 ticks, up to 13:33:36 ET...
    1,348,051 ticks, up to 13:35:43 ET...
    1,359,840 ticks, up to 13:36:56 ET...
    1,370,520 ticks, up to 13:39:01 ET...
    1,381,829 ticks, up to 13:40:34 ET...
    1,392,972 ticks, up to 13:42:07 ET...
    1,403,718 ticks, up to 13:44:37 ET...
    1,415,014 ticks, up to 13:47:40 ET...
    1,425,347 ticks, up to 13:51:16 ET...
    1,436,235 ticks, up to 13:54:49 ET...
    1,446,873 ticks, up to 13:56:43 ET...
    1,457,205 ticks, up to 13:59:39 ET...
    1,467,312 ticks, up to 14:06:02 ET...
    1,478,119 ticks, up to 14:12:10 ET...
    1,489,665 ticks, up to 14:20:55 ET...
    1,499,808 ticks, up to 14:27:05 ET...
    1,509,958 ticks, up to 14:33:29 ET...
    1,520,861 ticks, up to 14:38:04 ET...
    1,531,620 ticks, up to 14:43:07 ET...
    1,541,979 ticks, up to 14:51:18 ET...
    1,552,168 ticks, up to 14:59:44 ET...
    1,562,500 ticks, up to 15:09:06 ET...
    1,572,632 ticks, up to 15:19:33 ET...
    1,582,895 ticks, up to 15:27:54 ET...
    1,593,499 ticks, up to 15:37:45 ET...
    1,603,848 ticks, up to 15:43:32 ET...
    1,614,682 ticks, up to 15:54:38 ET...
    1,624,856 ticks, up to 16:03:02 ET...
    1,635,008 ticks, up to 16:13:23 ET...
    1,645,085 ticks, up to 16:39:52 ET...
    1,655,196 ticks, up to 17:12:15 ET...
    1,665,269 ticks, up to 17:46:40 ET...
    1,675,311 ticks, up to 19:30:18 ET...
  Saved 1677067 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-14/ROLR.json.gz
  BEEM...     10,169 ticks, up to 06:11:11 ET...
    20,435 ticks, up to 06:16:15 ET...
    31,248 ticks, up to 06:23:34 ET...
    42,095 ticks, up to 06:28:32 ET...
    52,549 ticks, up to 06:37:06 ET...
    62,810 ticks, up to 06:51:29 ET...
    73,565 ticks, up to 06:58:54 ET...
    83,760 ticks, up to 07:21:44 ET...
    95,359 ticks, up to 08:00:03 ET...
    107,175 ticks, up to 08:08:29 ET...
    117,503 ticks, up to 08:50:18 ET...
    127,970 ticks, up to 09:30:51 ET...
    138,330 ticks, up to 09:36:27 ET...
    148,535 ticks, up to 09:41:52 ET...
    159,312 ticks, up to 09:48:25 ET...
    169,814 ticks, up to 09:53:10 ET...
    180,049 ticks, up to 10:09:01 ET...
    190,167 ticks, up to 10:32:34 ET...
    200,459 ticks, up to 11:03:34 ET...
    210,622 ticks, up to 12:01:39 ET...
    221,062 ticks, up to 13:26:20 ET...
    231,199 ticks, up to 15:22:50 ET...
  Saved 239300 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-14/BEEM.json.gz
  CMND...     10,060 ticks, up to 12:00:39 ET...
  Saved 10998 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-14/CMND.json.gz
  MVO...     10,157 ticks, up to 04:43:48 ET...
    20,215 ticks, up to 05:41:17 ET...
    30,327 ticks, up to 11:51:26 ET...
  Saved 33913 ticks → /Users/duffy/warrior_bot_v2/tick_cache/2026-01-14/MVO.json.gz

[2026-01-15] Fetching 4 symbols (0 already cached)...
  SPHL...     10,440 ticks, up to 07:05:05 ET...
    20,925 ticks, up to 07:07:17 ET...
    31,512 ticks, up to 07:10:04 ET...
    42,190 ticks, up to 07:11:48 ET...
    53,135 ticks, up to 07:14:29 ET...
    63,337 ticks, up to 07:18:57 ET...
    73,902 ticks, up to 07:22:06 ET...
    84,530 ticks, up to 07:25:34 ET...
    95,206 ticks, up to 07:27:13 ET...
    105,629 ticks, up to 07:30:20 ET...
    116,639 ticks, up to 07:32:50 ET...
