date,time_et_or_event,equity
session_open,float,100000.0
2026-01-02,07:54:00,99241.48
2026-01-02,11:13:00,99504.47
2026-01-02,11:31:00,100106.55
2026-01-05,11:15:00,99886.64
2026-01-05,11:37:00,100517.38
2026-01-05,11:56:00,99092.0
2026-01-06,09:25:00,99576.88
2026-01-06,11:37:00,99451.72
2026-01-06,11:52:00,99451.72
2026-01-06,11:58:00,99630.6
2026-01-06,15:54:00,97017.88
2026-01-06,19:33:00,97088.93
2026-01-07,09:24:00,97283.23
2026-01-07,13:15:00,96698.74
2026-01-07,14:01:00,95959.33
2026-01-07,15:41:00,96071.82
2026-01-08,09:24:00,96607.37
2026-01-08,09:25:00,97336.59
2026-01-08,11:37:00,97990.16
2026-01-08,18:06:00,100170.84
2026-01-08,19:55:00,99980.57
2026-01-09,06:53:00,100078.96
2026-01-09,07:50:00,104962.48
2026-01-09,10:53:00,105076.25
2026-01-09,12:49:00,105215.58
2026-01-09,13:55:00,105346.95
2026-01-09,14:12:00,105478.32
2026-01-09,14:18:00,104699.65
2026-01-09,15:47:00,104573.94
2026-01-09,15:54:00,104711.97
2026-01-09,17:47:00,104587.81
2026-01-09,19:21:00,104904.01
2026-01-09,19:51:00,104197.79
2026-01-09,19:53:00,104466.0
2026-01-12,09:02:00,104732.37
2026-01-12,09:20:00,105751.85
2026-01-12,09:28:00,107476.61
2026-01-12,09:32:00,106482.39
2026-01-12,11:48:00,107005.59
2026-01-12,12:52:00,107534.64
2026-01-12,13:31:00,107849.61
2026-01-12,15:42:00,108376.76
2026-01-12,18:33:00,109111.39
2026-01-12,19:06:00,109547.23
2026-01-12,19:10:00,109242.18
2026-01-13,09:24:00,108773.61
2026-01-13,10:10:00,109891.49
2026-01-13,10:19:00,107967.93
2026-01-13,15:08:00,108567.06
2026-01-13,16:19:00,106240.3
2026-01-14,05:49:00,106115.3
2026-01-14,07:53:00,106927.52
2026-01-14,10:14:00,106146.85
2026-01-14,11:12:00,106808.0
2026-01-14,12:13:00,106533.33
2026-01-14,16:49:00,106861.45
2026-01-14,17:13:00,107059.36
2026-01-14,17:28:00,107743.01
2026-01-14,19:42:00,108445.04
2026-01-15,09:32:00,107093.1
2026-01-15,10:32:00,107631.85
2026-01-15,10:32:00,108234.1
2026-01-15,11:42:00,108414.32
2026-01-15,11:56:00,106558.74
2026-01-15,11:58:00,106558.74
2026-01-15,16:44:00,107652.7
2026-01-15,16:54:00,108631.25
2026-01-15,19:22:00,108838.8
2026-01-15,19:57:00,108973.57
2026-01-16,06:07:00,109543.18
2026-01-16,06:17:00,119911.6
2026-01-16,08:00:00,123696.6
2026-01-16,08:49:00,124143.03
2026-01-16,08:50:00,124018.03
2026-01-16,08:53:00,123552.13
2026-01-16,09:02:00,123198.93
