,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
ORB-5min,-11309.425000000065,88808.17999999988,39170.09000000023,1302.8549999999086,-5082.374999999919,28667.27999999997,-2974.30999999994,13728.715000000011,-27429.50000000001,10081.454999999958,-4128.015000000078,273.23499999985154,-13720.91,12354.369999999959,-3382.6199999999953,-12976.375000000015,-13208.635000000071,8484.239999999867,6527.6250000001155,13150.24500000001
VWAP-Mean-Reversion,-2028.5911856988128,-4594.609225752864,-3434.812519400455,2540.693287823796,-7207.527808852584,1243.6687337691378,476.62912761602405,-30.30905944478951,474.9233423319801,-8055.13497055886,12369.622799925797,4698.637359209837,3677.7645396112985,-6304.64949466416,4623.069163139364,-2028.09623980838,791.9173170035687,-3142.2846756127665,-1571.541525512284,6867.663779880059
PDH-PDL-Fade,41731.48999999894,55321.46999999738,33683.58999999891,3191.0199999994893,5193.585000000119,49556.43499999988,-16829.74500000045,122532.41499999937,29426.20999999983,33092.66499999942,28476.70500000014,1175.4900000012226,-37445.66999999921,48843.65499999902,10235.754999998462,-4042.8750000018395,-15921.220000000192,153537.29500000045,25886.790000000175,14251.090000000233
PDH-PDL-Breakout,-27118.05000000022,-3954.100000000121,-316.4800000002185,15027.199999999919,27936.825000000135,-662.3499999998407,-1165.8400000002057,1852.6450000000957,2235.1499999999596,-2307.165000000155,-13792.900000000238,3971.9200000001606,-9411.304999999878,-631.9799999995591,11748.049999999992,-12305.539999999743,22040.62000000031,19874.00000000081,25300.435000000074,18786.740000000325
Round-Number,-2424.1449999997294,-7867.269999999949,2091.0950000002053,34997.24000000016,-8079.889999999363,-5676.249999999794,-7326.044999999754,-4627.654999999853,-7344.104999999751,3700.1600000001413,765.9800000004016,-6296.299999999475,9831.775000000336,5615.115000000124,1286.8200000001746,-3968.594999999812,-5806.15999999986,-7508.504999999717,465.2700000004461,2216.0650000004325
