,ORB-5min,VWAP-Mean-Reversion,PDH-PDL-Fade,PDH-PDL-Breakout,Round-Number
ORB-5min,1.0,0.013934843842774656,0.07629849077334595,0.0664048805684789,0.05026421800203807
VWAP-Mean-Reversion,0.013934843842774656,1.0,-0.006575815799067817,-0.03382291497294389,-0.008802267998531767
PDH-PDL-Fade,0.07629849077334595,-0.006575815799067817,1.0,-0.04261956860851102,-0.007205650239862887
PDH-PDL-Breakout,0.0664048805684789,-0.03382291497294389,-0.04261956860851102,1.0,0.04034445966240319
Round-Number,0.05026421800203807,-0.008802267998531767,-0.007205650239862887,0.04034445966240319,1.0
