,ORB-5min,VWAP-Mean-Reversion,PDH-PDL-Fade,PDH-PDL-Breakout,Round-Number
ORB-5min,1.0,-0.02935261383948937,0.025275154466742968,0.02433360010766642,-0.00310559759589597
VWAP-Mean-Reversion,-0.02935261383948937,1.0,-0.0032250206492411516,-0.009016195863129732,-0.020236236054009978
PDH-PDL-Fade,0.025275154466742968,-0.0032250206492411516,1.0,0.0667499681224918,-0.010656946047468264
PDH-PDL-Breakout,0.02433360010766642,-0.009016195863129732,0.0667499681224918,1.0,0.03422602325007591
Round-Number,-0.00310559759589597,-0.020236236054009978,-0.010656946047468264,0.03422602325007591,1.0
