strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
VWAP-Mean-Reversion,AVGO,2020-01-02,short,2020-01-02T09:47:00,2020-01-02T09:49:00,319.66,319.8099738800925,319.8099738800925,318.73306613904845,160,1000.0,-23.995820814798208,-0.02399582081479821,stop
VWAP-Mean-Reversion,NKE,2020-01-02,short,2020-01-02T09:48:00,2020-01-02T09:49:00,101.44,101.34493402433196,101.5574405980349,101.34493402433196,59,1000.0,5.608892564414077,0.005608892564414077,target
VWAP-Mean-Reversion,CSCO,2020-01-02,short,2020-01-02T10:12:00,2020-01-02T10:15:00,48.12,48.02825449629595,48.25897925312063,48.02825449629595,199,1000.0,18.25735523710533,0.01825735523710533,target
VWAP-Mean-Reversion,WFC,2020-01-02,short,2020-01-02T10:55:00,2020-01-02T10:56:00,53.75,53.744909880838534,53.844909880838536,53.744909880838534,200,1000.0,1.0180238322931245,0.0010180238322931245,target
VWAP-Mean-Reversion,BAC,2020-01-02,short,2020-01-02T11:54:00,2020-01-02T12:20:00,35.485,35.58212827832331,35.58212827832331,35.48212827832331,1110,1000.0,-107.8123889388749,-0.1078123889388749,stop
VWAP-Mean-Reversion,F,2020-01-02,short,2020-01-02T15:20:00,2020-01-02T15:55:00,9.295,9.385,9.395335096633078,9.23828721018391,915,1000.0,-82.34999999999987,-0.08234999999999987,session_close
VWAP-Mean-Reversion,NFLX,2020-01-03,short,2020-01-03T09:47:00,2020-01-03T09:49:00,328.08,328.70888410380616,328.70888410380616,327.72753742845725,167,1000.0,-105.0236453356307,-0.1050236453356307,stop
VWAP-Mean-Reversion,CRM,2020-01-03,short,2020-01-03T10:49:00,2020-01-03T11:00:00,166.31,165.96538580080994,166.4367539703506,165.96538580080994,53,1000.0,18.264552557073273,0.018264552557073273,target
VWAP-Mean-Reversion,CSCO,2020-01-06,short,2020-01-06T10:32:00,2020-01-06T10:47:00,47.31,47.42514447741541,47.42514447741541,47.169562782647134,464,1000.0,-53.427037520748286,-0.05342703752074829,stop
VWAP-Mean-Reversion,WFC,2020-01-06,short,2020-01-06T10:33:00,2020-01-06T15:55:00,53.08,53.065,53.209591867102255,52.964814703650745,64,1000.0,0.9600000000000364,0.0009600000000000363,session_close
VWAP-Mean-Reversion,TSLA,2020-01-06,short,2020-01-06T11:22:00,2020-01-06T11:23:00,446.65,446.7454601115671,446.7454601115671,446.6454601115671,354,1000.0,-33.79287949477089,-0.03379287949477089,stop
VWAP-Mean-Reversion,NKE,2020-01-06,short,2020-01-06T11:30:00,2020-01-06T11:34:00,101.35,101.48518812254825,101.48518812254825,101.14715375385502,75,1000.0,-10.139109191119289,-0.010139109191119289,stop
