,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
ORB-5min,-4164.559999999998,3175.249999999999,2195.585000000006,390.2599999999956,-591.1599999999981,348.6099999999963,-256.37499999999267,2343.870000000001,-2390.2949999999964,-321.8999999999994,-943.7050000000074,1681.7199999999987,-869.4949999999982,-1353.2349999999938,-1925.005000000003,145.11999999999617,-1142.89,-1286.9250000000047,2394.680000000011,371.6900000000015
VWAP-Mean-Reversion,161.96805785875225,-44.16314810014121,91.8217890770593,7.9376292487519375,-51.607390615973884,3.6703449102490584,-45.73899147582301,-13.607519898676978,50.24083797906499,-37.79843346009132,124.89263522453713,14.57505090566638,36.613642594057566,-46.772177298691126,12.282036876899447,4.7185348683000505,-32.26040232348737,-0.6822948085501483,-12.068322751686688,57.322125952198476
PDH-PDL-Fade,-994.0550000000065,256.32999999998844,1160.814999999997,54.53000000000148,747.3050000000054,1170.6000000000038,195.57500000000073,1349.0749999999964,-683.9800000000009,-41.079999999994165,-485.1799999999944,652.5400000000151,-226.35499999998797,-190.42999999999947,7.919999999997184,-322.1250000000054,-372.57500000000084,136.9350000000045,1068.1000000000117,200.93000000001695
PDH-PDL-Breakout,-3303.055000000012,528.9900000000007,-1263.0900000000004,476.0100000000014,2513.255000000015,735.9950000000032,-706.7199999999998,368.01999999998833,696.1049999999971,-289.87500000000665,378.8250000000004,365.5499999999977,-492.53500000000696,-1609.7999999999956,-832.8799999999987,-850.0999999999938,-47.624999999995126,-14.96500000000141,1708.2050000000088,1031.6200000000144
Round-Number,23.215000000002142,-158.81000000000012,-363.54499999999814,711.8200000000012,-99.89999999999392,-74.48499999999768,-80.17999999999736,-69.14999999999898,-76.07499999999746,3.9350000000016365,-17.179999999996276,-93.25999999999507,297.2300000000047,71.43500000000105,-31.91499999999786,-45.729999999998164,-66.3449999999987,-84.81999999999788,-102.16499999999476,29.19000000000485
