strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-02,long,2020-01-02T12:58:00,2020-01-02T15:55:00,428.24,430.18,424.42,435.88,261,1000.0,506.3399999999994,0.5063399999999995,session_close,False
ORB-Aligned-300Plus-MonSkip,ADBE,2020-01-03,long,2020-01-03T10:01:00,2020-01-03T15:55:00,332.63,332.01,328.69,340.51,211,1000.0,-130.82000000000096,-0.13082000000000096,session_close,False
ORB-Aligned-300Plus-MonSkip,AVGO,2020-01-03,short,2020-01-03T11:11:00,2020-01-03T15:55:00,316.99,314.61,318.64,313.69000000000005,233,1000.0,554.5399999999989,0.5545399999999989,session_close,False
ORB-Aligned-300Plus-MonSkip,AAPL,2020-01-03,long,2020-01-03T12:48:00,2020-01-03T15:55:00,300.29,298.07,296.5,307.87000000000006,263,1000.0,-583.8600000000072,-0.5838600000000072,session_close,False
ORB-Aligned-300Plus-MonSkip,NFLX,2020-01-07,short,2020-01-07T10:25:00,2020-01-07T15:55:00,331.6,330.66,336.7,321.4000000000001,196,1000.0,184.23999999999955,0.18423999999999954,session_close,False
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-07,short,2020-01-07T11:02:00,2020-01-07T12:03:00,457.5,462.09,462.09,448.32000000000005,217,1000.0,-996.0299999999945,-0.9960299999999945,stop,False
ORB-Aligned-300Plus-MonSkip,AVGO,2020-01-07,short,2020-01-07T14:40:00,2020-01-07T15:55:00,313.36,312.55,315.43,309.22,149,1000.0,120.69000000000034,0.12069000000000034,session_close,False
ORB-Aligned-300Plus-MonSkip,NFLX,2020-01-08,long,2020-01-08T10:18:00,2020-01-08T14:06:00,334.21,340.24999999999994,331.19,340.24999999999994,331,1000.0,1999.239999999988,1.999239999999988,target,False
ORB-Aligned-300Plus-MonSkip,AVGO,2020-01-08,short,2020-01-08T10:32:00,2020-01-08T15:55:00,311.8,309.47,313.5,308.40000000000003,263,1000.0,612.7899999999959,0.6127899999999958,session_close,False
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-09,short,2020-01-09T09:54:00,2020-01-09T12:30:00,490.53,473.8699999999999,498.86,473.8699999999999,120,1000.0,1999.2000000000098,1.9992000000000099,target,False
ORB-Aligned-300Plus-MonSkip,AAPL,2020-01-09,long,2020-01-09T10:40:00,2020-01-09T12:34:00,308.59,307.1,307.1,311.5699999999999,671,1000.0,-999.7899999999679,-0.9997899999999679,stop,False
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-10,short,2020-01-10T11:42:00,2020-01-10T15:55:00,477.61,478.195,483.88,465.07000000000005,159,1000.0,-93.01499999999675,-0.09301499999999675,session_close,False
ORB-Aligned-300Plus-MonSkip,ADBE,2020-01-10,short,2020-01-10T12:03:00,2020-01-10T15:55:00,340.92,340.0,342.26,338.24000000000007,76,1000.0,69.92000000000121,0.0699200000000012,session_close,False
ORB-Aligned-300Plus-MonSkip,AVGO,2020-01-14,long,2020-01-14T10:06:00,2020-01-14T15:55:00,304.06,308.32,301.5,309.18,139,1000.0,592.1399999999987,0.5921399999999988,session_close,False
ORB-Aligned-300Plus-MonSkip,ADBE,2020-01-14,short,2020-01-14T11:28:00,2020-01-14T13:32:00,344.94,347.2,347.2,340.42,353,1000.0,-797.7799999999968,-0.7977799999999968,stop,False
ORB-Aligned-300Plus-MonSkip,AAPL,2020-01-15,long,2020-01-15T10:26:00,2020-01-15T15:23:00,314.13,311.5,311.5,319.39,380,1000.0,-999.3999999999983,-0.9993999999999983,stop,False
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-15,long,2020-01-15T12:07:00,2020-01-15T14:02:00,533.39,527.1,527.1,545.9699999999999,158,1000.0,-993.8199999999943,-0.9938199999999943,stop,False
ORB-Aligned-300Plus-MonSkip,ADBE,2020-01-15,short,2020-01-15T12:59:00,2020-01-15T15:55:00,345.4,342.77,347.0,342.19999999999993,113,1000.0,297.1899999999995,0.2971899999999995,session_close,False
ORB-Aligned-300Plus-MonSkip,AAPL,2020-01-16,long,2020-01-16T10:08:00,2020-01-16T10:54:00,315.32,313.59,313.59,318.78000000000003,578,1000.0,-999.9400000000105,-0.9999400000000105,stop,False
ORB-Aligned-300Plus-MonSkip,NFLX,2020-01-16,short,2020-01-16T10:12:00,2020-01-16T15:55:00,338.84,338.49,343.55,329.4199999999999,212,1000.0,74.19999999999277,0.07419999999999277,session_close,False
ORB-Aligned-300Plus-MonSkip,ADBE,2020-01-16,short,2020-01-16T10:47:00,2020-01-16T15:55:00,343.52,345.12,345.99,338.5799999999999,404,1000.0,-646.4000000000092,-0.6464000000000092,session_close,False
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-16,long,2020-01-16T13:24:00,2020-01-16T15:55:00,506.0,513.31,492.2,533.6,72,1000.0,526.3199999999961,0.5263199999999961,session_close,False
ORB-Aligned-300Plus-MonSkip,AVGO,2020-01-17,short,2020-01-17T10:05:00,2020-01-17T15:54:00,305.66,308.82,308.82,299.3400000000001,197,1000.0,-622.5199999999937,-0.6225199999999937,stop,False
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-17,long,2020-01-17T10:33:00,2020-01-17T12:13:00,514.04,507.46,507.46,527.1999999999999,151,1000.0,-993.5799999999977,-0.9935799999999977,stop,False
ORB-Aligned-300Plus-MonSkip,AAPL,2020-01-17,short,2020-01-17T11:14:00,2020-01-17T12:14:00,315.4,316.77,316.77,312.65999999999997,729,1000.0,-998.7300000000033,-0.9987300000000033,stop,False
ORB-Aligned-300Plus-MonSkip,NFLX,2020-01-17,short,2020-01-17T11:47:00,2020-01-17T15:55:00,337.94,339.92,341.0,331.82,251,1000.0,-496.98000000000457,-0.4969800000000046,session_close,False
ORB-Aligned-300Plus-MonSkip,TSLA,2020-01-21,long,2020-01-21T10:03:00,2020-01-21T15:55:00,542.78,547.61,528.395,571.55,69,1000.0,333.2700000000028,0.33327000000000284,session_close,False
ORB-Aligned-300Plus-MonSkip,ADBE,2020-01-22,long,2020-01-22T10:27:00,2020-01-22T11:13:00,354.04,352.02,352.02,358.0800000000001,128,1000.0,-258.56000000000495,-0.25856000000000495,stop,False
ORB-Aligned-300Plus-MonSkip,AVGO,2020-01-22,long,2020-01-22T10:35:00,2020-01-22T15:55:00,314.07,312.64,310.3,321.60999999999996,265,1000.0,-378.9500000000018,-0.3789500000000018,session_close,False
ORB-Aligned-300Plus-MonSkip,AAPL,2020-01-22,short,2020-01-22T11:15:00,2020-01-22T12:39:00,317.56,318.94,318.94,314.8,724,1000.0,-999.1199999999967,-0.9991199999999967,stop,False
